"organism_key","taxon","stage","code"
"NBNORG0000006869","Hesperocorixa linnaei","mature",6
"NBNORG0000011311","Saldula setulosa","mature",3
"NBNORG0000044125","Gerris paludum","mature",2
"NBNORG0000060542","Aquarius najas","mature",2
"NBNORG0000060543","Aquarius paludum","mature",2
"NBNORG0000060544","Arctocorisa carinata","mature",3
"NBNORG0000060545","Arctocorisa germari","mature",3
"NBNORG0000060546","Callicorixa praeusta","mature",3
"NBNORG0000060547","Callicorixa wollastoni","mature",3
"NBNORG0000060548","Corixa affinis","mature",3
"NBNORG0000060549","Corixa dentipes","mature",3
"NBNORG0000060550","Corixa iberica","mature",4
"NBNORG0000060551","Corixa panzeri","mature",3
"NBNORG0000060552","Corixa punctata","mature",3
"NBNORG0000060553","Cymatia bonsdorffii","mature",2
"NBNORG0000060554","Cymatia coleoptrata","mature",2
"NBNORG0000060555","Glaenocorisa cavifrons","mature",3
"NBNORG0000060556","Glaenocorisa propinqua subsp. propinqua","mature",3
"NBNORG0000060557","Hesperocorixa castanea","mature",3
"NBNORG0000060558","Hesperocorixa moesta","mature",3
"NBNORG0000060559","Hesperocorixa sahlbergi","mature",3
"NBNORG0000060560","Hydrometra gracilenta","mature",2
"NBNORG0000060561","Hydrometra stagnorum","mature",1
"NBNORG0000060562","Ilyocoris cimicoides","mature",1
"NBNORG0000060563","Limnoporus rufoscutellatus","mature",2
"NBNORG0000060564","Mesovelia furcata","mature",2
"NBNORG0000060565","Nepa cinerea","mature",1
"NBNORG0000060566","Paracorixa concinna","mature",3
"NBNORG0000060567","Plea minutissima","mature",2
"NBNORG0000064634","Naucoris maculatus","mature",2
"NBNORG0000091388","Cymatia rogenhoferi","mature",2
"NBNORG0000094753","Aepophilus bonnairei","mature",2
"NBNORG0000094794","Aphelocheirus (Aphelocheirus) aestivalis","mature",1
"NBNORG0000094908","Chartoscirta cincta","mature",2
"NBNORG0000094909","Chartoscirta cocksii","mature",2
"NBNORG0000094910","Chartoscirta elegantula","mature",2
"NBNORG0000094915","Chiloxanthus pilosus","mature",2
"NBNORG0000094960","Cryptostemma alienum","mature",3
"NBNORG0000094962","Pachycoleus waltli","mature",3
"NBNORG0000095096","Gerris (Gerris) argentatus","mature",3
"NBNORG0000095097","Gerris (Gerris) costae","mature",3
"NBNORG0000095098","Gerris (Gerris) gibbifer","mature",3
"NBNORG0000095099","Gerris (Gerris) lacustris","mature",3
"NBNORG0000095100","Gerris (Gerris) odontogaster","mature",3
"NBNORG0000095101","Gerris (Gerris) thoracicus","mature",3
"NBNORG0000095103","Gerris (Gerriselloides) lateralis","mature",3
"NBNORG0000095123","Halosalda lateralis","mature",2
"NBNORG0000095136","Hebrus (Hebrus) pusillus","mature",2
"NBNORG0000095138","Hebrus (Hebrusella) ruficeps","mature",2
"NBNORG0000095251","Macrosaldula scotica","mature",3
"NBNORG0000095294","Micracanthia marginalis","mature",3
"NBNORG0000095297","Micronecta (Dichaetonecta) scholtzi","mature",4
"NBNORG0000095299","Micronecta (Micronecta) griseola","mature",4
"NBNORG0000095300","Micronecta (Micronecta) minutissima","mature",4
"NBNORG0000095301","Micronecta (Micronecta) poweri","mature",4
"NBNORG0000095307","Microvelia (Microvelia) buenoi","mature",3
"NBNORG0000095308","Microvelia (Microvelia) pygmaea","mature",3
"NBNORG0000095309","Microvelia (Microvelia) reticulata","mature",3
"NBNORG0000095366","Notonecta (Notonecta) glauca","mature",2
"NBNORG0000095367","Notonecta (Notonecta) maculata","mature",2
"NBNORG0000095368","Notonecta (Notonecta) obliqua","mature",1
"NBNORG0000095369","Notonecta (Notonecta) viridis","mature",2
"NBNORG0000095600","Ranatra (Ranatra) linearis","mature",1
"NBNORG0000095625","Salda littoralis","mature",3
"NBNORG0000095626","Salda morio","mature",4
"NBNORG0000095627","Salda muelleri","mature",4
"NBNORG0000095633","Saldula arenicola","mature",2
"NBNORG0000095634","Saldula c-album","mature",3
"NBNORG0000095635","Saldula fucicola","mature",3
"NBNORG0000095636","Saldula melanoscela","mature",3
"NBNORG0000095637","Saldula opacula","mature",3
"NBNORG0000095638","Saldula orthochila","mature",3
"NBNORG0000095639","Saldula pallipes","mature",4
"NBNORG0000095640","Saldula palustris","mature",4
"NBNORG0000095641","Saldula pilosella","mature",3
"NBNORG0000095642","Saldula saltatoria","mature",3
"NBNORG0000095661","Sigara (Halicorixa) selecta","mature",4
"NBNORG0000095662","Sigara (Halicorixa) stagnalis","mature",4
"NBNORG0000095664","Sigara (Pseudovermicorixa) nigrolineata","mature",4
"NBNORG0000095666","Sigara (Retrocorixa) limitata","mature",4
"NBNORG0000095667","Sigara (Retrocorixa) semistriata","mature",4
"NBNORG0000095668","Sigara (Retrocorixa) venusta","mature",4
"NBNORG0000095670","Sigara (Sigara) dorsalis","mature",3
"NBNORG0000095671","Sigara (Sigara) striata","mature",4
"NBNORG0000095673","Sigara (Subsigara) distincta","mature",4
"NBNORG0000095674","Sigara (Subsigara) falleni","mature",4
"NBNORG0000095675","Sigara (Subsigara) fallenoidea","mature",4
"NBNORG0000095676","Sigara (Subsigara) fossarum","mature",4
"NBNORG0000095677","Sigara (Subsigara) iactans","mature",4
"NBNORG0000095678","Sigara (Subsigara) longipalis","mature",4
"NBNORG0000095679","Sigara (Subsigara) scotti","mature",4
"NBNORG0000095681","Sigara (Vermicorixa) lateralis","mature",3
"NBNORG0000095720","Teloleuca pellucens","mature",3
"NBNORG0000095777","Velia (Plesiovelia) caprai","mature",2
"NBNORG0000095778","Velia (Plesiovelia) saulii","mature",2
