"tvk","start_day","start_month","start_year","end_day","end_month","end_year"
"NHMSYS0000504626","01","01","1700",,,
"NBNSYS0100005950","01","01","1700",,,
"NHMSYS0000504624","01","01","1700",,,
"NHMSYS0000504515","01","01","1700",,,
"NHMSYS0000504514","01","01","1889",,,
"NHMSYS0000504513","01","01","1700",,,
"NHMSYS0000504486","01","01","1700",,,
"NHMSYS0021297309","01","01","1700",,,
"NHMSYS0000504085","01","01","1700",,,
"NHMSYS0000504084","01","01","1700",,,
"NHMSYS0000522857","01","01","1700",,,
"NHMSYS0000504013","01","01","1700",,,
"NHMSYS0000503906","01","01","1700",,,
"NHMSYS0000516660","01","01","1700",,,
"NHMSYS0020825965","01","01","1700",,,
"NHMSYS0021143616","01","01","1700",,,
"NHMSYS0000503893","01","01","1700",,,
"NBNSYS0000005539","01","01","1700",,,
"NHMSYS0000503832","01","01","1700",,,
"NHMSYS0000516630","01","01","1700",,,
"NHMSYS0000503827","01","01","1700",,,
"NHMSYS0020757917","01","01","1700",,,
"NHMSYS0000523344","01","01","1700",,,
"NBNSYS0000005514","01","01","1700",,,
"NHMSYS0020755521","01","01","1700",,,
"NHMSYS0000516575","01","01","1700",,,
"NHMSYS0000516570","01","01","1700",,,
"NHMSYS0000503191","01","01","1700",,,
"NHMSYS0000503190","01","01","1700",,,
"NHMSYS0000522017","01","01","1700",,,
"NHMSYS0000521977","01","01","1700",,,
"NHMSYS0000516465","01","01","1700",,,
"NHMSYS0000516450","01","01","1700","01","01","1864"
"NBNSYS0100003750","01","01","1700",,,
"NHMSYS0000516430","01","01","1700",,,
"NHMSYS0020978559","01","01","1700",,,
"NHMSYS0000503020","01","01","1700",,,
"NHMSYS0000502994","01","01","1700",,,
"NBNSYS0100003607","01","01","1700",,,
"NHMSYS0000502952","01","01","1700",,,
"NHMSYS0000520428","01","01","1700",,,
"NHMSYS0000515916","01","01","1700",,,
"NHMSYS0000502853","01","01","1700",,,
"NHMSYS0000502800","01","01","1700",,,
"NHMSYS0000516380","01","01","1700",,,
"NHMSYS0021002801","01","01","1700",,,
"NHMSYS0000516340","01","01","1700",,,
"NHMSYS0000550499","01","01","1700",,,
"NHMSYS0000519788","01","01","1700",,,
"NHMSYS0000519783","01","01","1700",,,
"NHMSYS0000502090","01","01","1700",,,
"NHMSYS0000502047","01","01","1700","01","01","1904"
"NHMSYS0000502045","01","01","1700",,,
"NHMSYS0020825929","01","01","1700",,,
"NHMSYS0000501954","01","01","1700",,,
"NHMSYS0000501953","01","01","1700",,,
"NBNSYS0000005518","01","01","1700",,,
"NHMSYS0000519078","01","01","1700",,,
"NHMSYS0000519083","01","01","1700",,,
"NHMSYS0000516260","01","01","1700",,,
"NHMSYS0000501644","01","01","1700",,,
"NHMSYS0000501598","01","01","1700",,,
"NBNSYS0100002143","01","01","1997",,,
"NHMSYS0000516240","01","01","1700",,,
"NHMSYS0000501513","01","01","1700",,,
"NHMSYS0000516231","01","01","1700",,,
"NHMSYS0000501397","01","01","1700",,,
"NHMSYS0000501356","01","01","1700",,,
"NHMSYS0000516206","01","01","1700",,,
"NHMSYS0000501166","01","01","1700",,,
"NHMSYS0000501147","01","01","1700","01","01","1925"
"NHMSYS0000501120","01","01","1700",,,
"NHMSYS0000501116","01","01","1700",,,
"NHMSYS0000516186","01","01","1700",,,
"NHMSYS0000501034","01","01","1700",,,
"NHMSYS0021143568","01","01","1700",,,
