"taxon","tvk","start_day","start_month","end_day","end_month","stage"
"Phylloscopus sibilatrix","NHMSYS0000530757","15","04","01","10","Adult"
"Carpodacus erythrinus","NHMSYS0000530254","20","05","15","10","Adult"
"Branta bernicla hrota","NHMSYS0020302961","26","04","14","09","Adult"
"Eremophila alpestris","NHMSYS0000530737","21","05","30","09","Adult"
"Lanius excubitor","NHMSYS0000530425","02","05","31","08","Adult"
"Anser albifrons flavirostris","NHMSYS0000532795","26","04","30","09","Adult"
"Serinus serinus","NHMSYS0000530599","10","03","01","12","Adult"
"Sylvia communis","NHMSYS0000530636","05","04","01","11","Adult"
"Calidris ferruginea","NBNSYS0000188700","15","04","20","11","Adult"
"Locustella naevia","NHMSYS0000530444","05","04","10","10","Adult"
"Hippolais icterina","NHMSYS0000530396","25","04","20","10","Adult"
"Larus glaucoides","NBNSYS0000000355","31","05","29","09","Adult"
"Charadrius morinellus","NBNSYS0000000176","10","04","10","11","Adult"
"Caprimulgus europaeus","NHMSYS0000530242","25","04","10","10","Adult"
"Turdus iliacus","NHMSYS0000530673","02","05","31","08","Adult"
"Sternula albifrons","NHMSYS0001688285","10","04","10","10","Adult"
"Bombycilla garrulus","NHMSYS0000530207","21","05","30","09","Adult"
"Circus pygargus","NHMSYS0000530296","15","04","05","09","Adult"
"Actitis hypoleucos","NBNSYS0000000033","10","03","31","10","Adult"
"Acrocephalus palustris","NHMSYS0000530128","20","05","20","10","Adult"
"Anser fabalis rossicus","NHMSYS0020302939","21","04","30","09","Adult"
"Sterna hirundo","NBNSYS0000000138","01","04","15","11","Adult"
"Aythya marila","NBNSYS0000000193","21","05","31","08","Adult"
"Motacilla flava","NHMSYS0000530496","20","03","15","11","Adult"
"Branta bernicla bernicla","NHMSYS0000534055","26","04","14","09","Adult"
"Mergellus albellus","NHMSYS0000530474","02","06","09","10","Adult"
"Calidris melanotos","NBNSYS0000000166","01","05","25","10","Adult"
"Hydrobates pelagicus","NBNSYS0000000236","15","03","30","10","Adult"
"Sylvia borin","NHMSYS0000530634","12","04","01","11","Adult"
"Saxicola rubetra","NHMSYS0000530590","05","04","15","11","Adult"
"Oriolus oriolus","NHMSYS0000530518","15","04","20","09","Adult"
"Anser albifrons","NHMSYS0000530149","26","04","30","09","Adult"
"Anser fabalis fabalis","NHMSYS0020302938","21","04","30","09","Adult"
"Apus apus","NHMSYS0000530165","10","04","01","11","Adult"
"Sterna sandvicensis","NBNSYS0000000363","10","03","15","10","Adult"
"Melanitta fusca","NBNSYS0000000195","06","05","09","09","Adult"
"Limosa lapponica","NBNSYS0000000146","01","06","30","06","Adult"
"Anthus spinoletta","NHMSYS0000530161","26","04","17","10","Adult"
"Branta bernicla","NBNSYS0000000260","26","04","14","09","Adult"
"Numenius phaeopus","NBNSYS0000000144","10","04","20","11","Adult"
"Luscinia svecica","NHMSYS0000530465","20","03","01","11","Adult"
"Lymnocryptes minimus","NBNSYS0000000143","01","05","31","08","Adult"
"Pernis apivorus","NHMSYS0000530550","25","04","10","09","Adult"
"Upupa epops","NHMSYS0000530687","15","03","10","11","Adult"
"Pandion haliaetus","NBNSYS0000000292","15","03","15","10","Adult"
"Anthus trivialis","NHMSYS0000530162","01","04","01","11","Adult"
"Pluvialis squatarola","NBNSYS0000000141","01","07","31","05","Adult"
"Tringa erythropus","NBNSYS0000000149","01","06","30","06","Adult"
"Falco subbuteo","NHMSYS0000530357","07","04","25","10","Adult"
"Ficedula hypoleuca","NHMSYS0000530362","10","04","15","10","Adult"
"Buteo lagopus","NHMSYS0000530226","16","05","09","09","Adult"
"Lanius collurio","NHMSYS0000530423","25","04","05","11","Adult"
"Tringa glareola","NBNSYS0000000148","10","04","25","09","Adult"
"Acrocephalus schoenobaenus","NHMSYS0000530129","05","04","15","10","Adult"
"Chlidonias niger","NBNSYS0000000372","10","04","20","10","Adult"
"Larus hyperboreus","NBNSYS0000000356","01","05","24","08","Adult"
"Stercorarius pomarinus","NBNSYS0000000340","15","03","31","10","Adult"
"Anser fabalis sensu lato","NBNSYS0000000213","21","04","30","09","Adult"
"Cygnus columbianus","NBNSYS0000000200","02","04","30","09","Adult"
"Alle alle","NBNSYS0000000377","01","05","30","09","Adult"
"Porzana porzana","NHMSYS0000530787","20","03","01","11","Adult"
"Riparia riparia","NHMSYS0000530586","01","03","25","10","Adult"
"Burhinus oedicnemus","NHMSYS0000530223","01","03","10","10","Adult"
"Cygnus cygnus","NBNSYS0000000199","02","04","30","09","Adult"
"Streptopelia turtur","NHMSYS0000530623","10","04","10","11","Adult"
"Acrocephalus scirpaceus","NHMSYS0000530130","10","04","15","11","Adult"
"Motacilla flava flava","NBNSYS0000001342","01","04","30","09","Adult"
"Tringa ochropus","NBNSYS0000000147","01","06","30","06","Adult"
"Turdus pilaris","NHMSYS0000530679","21","05","24","08","Adult"
"Delichon urbicum","NHMSYS0000530329","10","03","01","12","Adult"
"Anas querquedula","NBNSYS0000000136","01","03","15","10","Adult"
"Luscinia megarhynchos","NHMSYS0000530464","05","04","01","09","Adult"
"Stercorarius skua","NBNSYS0000000343","15","03","31","10","Adult"
"Stercorarius longicaudus","NBNSYS0000000342","01","05","01","12","Adult"
"Sterna paradisaea","NBNSYS0000000365","01","04","05","11","Adult"
"Charadrius dubius","NBNSYS0000000162","01","03","20","09","Adult"
"Oenanthe oenanthe","NHMSYS0000530514","01","03","15","11","Adult"
"Anas acuta","NBNSYS0000000189","01","05","31","08","Adult"
"Hippolais polyglotta","NHMSYS0000530399","30","05","20","10","Adult"
"Plectrophenax nivalis","NHMSYS0000530776","02","06","31","08","Adult"
"Calcarius lapponicus","NHMSYS0000530233","02","06","09","09","Adult"
