tvk,code,allow_org_key,rtvk,organism_key,taxon
NBNSYS0100004936,1,allow,NBNSYS0100004936,NBNORG0000011287,Pseudospinolia neglecta
NBNSYS0000009434,1,allow,NBNSYS0000009434,NBNORG0000011294,Aporus unicolor
NBNSYS0000009446,1,allow,NBNSYS0000009446,NBNORG0000011295,Gymnomerus laevipes
NBNSYS0000009479,1,allow,NBNSYS0000009479,NBNORG0000011297,Miscophus concolor
NBNSYS0000009736,1,allow,NBNSYS0000009736,NBNORG0000011302,Sphecodes miniatus
NBNSYS0000009742,1,allow,NBNSYS0000009742,NBNORG0000011303,Sphecodes rubicundus
NBNSYS0000009745,1,allow,NBNSYS0000009745,NBNORG0000011304,Dufourea minuta
NBNSYS0100002844,1,allow,NBNSYS0100002844,NBNORG0000041817,Didineis lunicornis
NBNSYS0100003105,2,allow,NHMSYS0000875934,NBNORG0000041954,Eumenes coarctatus
NHMSYS0000875934,1,allow,NHMSYS0000875934,NBNORG0000041954,Eumenes coarctatus
NBNSYS0100003685,1,allow,NBNSYS0100003685,NBNORG0000042270,Lasius sabularum
NBNSYS0100004091,1,allow,NBNSYS0100004091,NBNORG0000042540,Mimumesa spooneri
NBNSYS0100004273,1,allow,NBNSYS0100004273,NBNORG0000042645,Nomada roberjeotiana
NBNSYS0100004491,1,allow,NBNSYS0100004491,NBNORG0000042798,Passaloecus turionum
NBNSYS0100004564,1,allow,NBNSYS0100004564,NBNORG0000042846,Philoctetes truncatus
NBNSYS0100004923,1,allow,NBNSYS0100004923,NBNORG0000043061,Pseudomalus violaceus
NBNSYS0100004936,1,allow,NBNSYS0100004936,NBNORG0000043074,Pseudospinolia neglecta
NHMSYS0020977379,1,allow,NHMSYS0020977379,NBNORG0000043428,Tapinoma subboreale
NHMSYS0000873267,1,allow,NHMSYS0000873267,NBNORG0000072020,Stenamma westwoodii
NHMSYS0000873269,1,allow,NHMSYS0000873269,NBNORG0000072022,Tachysphex unicolor
NHMSYS0000873271,1,allow,NHMSYS0000873271,NBNORG0000072024,Trypoxylon figulus
NHMSYS0000875032,2,,NHMSYS0000875032,NBNORG0000072027,Agenioideus sericeus
NHMSYS0000875052,1,allow,NHMSYS0021232117,NBNORG0000072039,Ancistrocerus claripennis
NHMSYS0000875162,1,allow,NHMSYS0000875162,NBNORG0000072046,Andrena apicata
NHMSYS0000875287,1,allow,NHMSYS0000875287,NBNORG0000072054,Andrena varians
NHMSYS0000875216,1,allow,NHMSYS0000875216,NBNORG0000072056,Andrena hattorfiana
NHMSYS0000875208,1,allow,NHMSYS0000875208,NBNORG0000072060,Andrena fulvago
NHMSYS0000875241,1,allow,NHMSYS0000875241,NBNORG0000072064,Andrena nigriceps
NHMSYS0000875274,1,allow,NHMSYS0000875274,NBNORG0000072065,Andrena simillima
NHMSYS0000875284,1,allow,NHMSYS0000875284,NBNORG0000072066,Andrena tridentata
NHMSYS0000875264,1,allow,NHMSYS0000875264,NBNORG0000072069,Andrena ruficrus
NHMSYS0000875201,1,,NHMSYS0000875201,NBNORG0000072074,Andrena ferox
NHMSYS0000875262,1,allow,NHMSYS0000875262,NBNORG0000072075,Andrena rosae
NHMSYS0000875164,1,allow,NHMSYS0000875164,NBNORG0000072079,Andrena argentata
NHMSYS0000875232,1,allow,NHMSYS0000875232,NBNORG0000072082,Andrena marginata
NHMSYS0000875286,1,allow,NHMSYS0000875286,NBNORG0000072090,Andrena vaga
NHMSYS0000875157,1,allow,NHMSYS0000875157,NBNORG0000072092,Andrena alfkenella
NHMSYS0000875199,1,allow,NHMSYS0000875199,NBNORG0000072093,Andrena falsifica
NHMSYS0000875204,1,allow,NHMSYS0000875204,NBNORG0000072094,Andrena floricola
NHMSYS0000875238,1,allow,NHMSYS0000875238,NBNORG0000072097,Andrena nana
NHMSYS0000875240,1,allow,NHMSYS0000875240,NBNORG0000072098,Andrena nanula
NHMSYS0000875247,1,allow,NHMSYS0000875247,NBNORG0000072099,Andrena niveata
NHMSYS0000875115,1,allow,NHMSYS0021232238,NBNORG0000072100,Andrena proxima sensu lato
NBNSYS0100001525,1,allow,NBNSYS0100001525,NBNORG0000072105,Andrena nitidiuscula
NHMSYS0000875181,1,allow,NHMSYS0000875181,NBNORG0000072107,Andrena coitana
NHMSYS0000875244,1,allow,NHMSYS0000875244,NBNORG0000072110,Andrena nigrospina
NHMSYS0000875126,1,,NHMSYS0000875254,NBNORG0000072111,Andrena pilipes
NHMSYS0000875283,1,allow,NHMSYS0000875283,NBNORG0000072112,Andrena tibialis
NHMSYS0000875256,1,allow,NHMSYS0000875256,NBNORG0000072117,Andrena polita
NHMSYS0000875281,1,allow,NHMSYS0000875281,NBNORG0000072118,Andrena tarsata
NBNSYS0000009676,1,allow,NBNSYS0000009676,NBNORG0000072122,Andrena congruens
NHMSYS0000875227,1,allow,NHMSYS0000875227,NBNORG0000072124,Andrena lepida
NHMSYS0000875226,1,,NHMSYS0000875226,NBNORG0000072126,Andrena lathyri
NHMSYS0000875273,1,allow,NHMSYS0000875273,NBNORG0000072128,Andrena similis
NHMSYS0000875213,2,allow,NHMSYS0000875213,NBNORG0000072134,Andrena gravida
NHMSYS0000875294,1,,NHMSYS0000875294,NBNORG0000072136,Anergates atratulus
NHMSYS0000875304,1,allow,NHMSYS0000875304,NBNORG0000072139,Anoplius caviventris
NHMSYS0000875305,1,allow,NHMSYS0000875305,NBNORG0000072140,Anoplius concinnus
NHMSYS0000875408,1,allow,NHMSYS0000875408,NBNORG0000072170,Anthophora quadrimaculata
