tvk,start_day,start_month,end_day,end_month,stage,allow_org_key,rtvk,organism_key,taxon
NBNSYS0100004936,1,4,31,8,mature,allow,NBNSYS0100004936,NBNORG0000011287,Pseudospinolia neglecta
NBNSYS0000009398,1,4,31,10,mature,allow,NBNSYS0000009398,NBNORG0000011289,Auplopus carbonarius
NBNSYS0000009399,1,5,31,10,mature,allow,NBNSYS0000009399,NBNORG0000011290,Caliadurgus fasciatellus
NBNSYS0000009413,1,5,31,10,mature,allow,NBNSYS0000009413,NBNORG0000011291,Pompilus cinereus
NBNSYS0000009414,1,5,30,9,mature,allow,NBNSYS0000009414,NBNORG0000011292,Agenioideus cinctellus
NBNSYS0000009424,1,4,31,10,mature,allow,NBNSYS0000009424,NBNORG0000011293,Evagetes crassicornis
NBNSYS0000009434,1,7,30,9,mature,allow,NBNSYS0000009434,NBNORG0000011294,Aporus unicolor
NBNSYS0000009446,1,1,31,8,mature,allow,NBNSYS0000009446,NBNORG0000011295,Gymnomerus laevipes
NBNSYS0000009451,1,4,30,11,mature,allow,NBNSYS0000009451,NBNORG0000011296,Ancistrocerus oviventris
NBNSYS0000009479,1,5,30,9,mature,allow,NBNSYS0000009479,NBNORG0000011297,Miscophus concolor
NBNSYS0000009538,1,4,31,10,mature,allow,NBNSYS0000009538,NBNORG0000011298,Psenulus pallipes
NBNSYS0000009728,1,3,30,9,mature,allow,NBNSYS0000009728,NBNORG0000011301,Sphecodes crassus
NBNSYS0000009736,1,4,30,9,mature,allow,NBNSYS0000009736,NBNORG0000011302,Sphecodes miniatus
NBNSYS0000009742,1,4,31,7,mature,allow,NBNSYS0000009742,NBNORG0000011303,Sphecodes rubicundus
NBNSYS0000009745,1,6,31,8,mature,allow,NBNSYS0000009745,NBNORG0000011304,Dufourea minuta
NHMSYS0000876427,1,3,30,9,mature,allow,NHMSYS0000876427,NBNORG0000026969,Nomada goodeniana
NBNSYS0100001577,1,6,31,8,mature,allow,NBNSYS0100001577,NBNORG0000041095,Anteon exiguum
NBNSYS0100001612,1,6,31,7,mature,allow,NBNSYS0100001612,NBNORG0000041119,Aphelopus querceus
NBNSYS0100002844,1,7,31,10,mature,allow,NBNSYS0100002844,NBNORG0000041817,Didineis lunicornis
NBNSYS0100002902,1,5,30,9,mature,allow,NBNSYS0100002902,NBNORG0000041850,Dryudella pinguis
NBNSYS0100003105,1,7,31,8,mature,allow,NHMSYS0000875934,NBNORG0000041954,Eumenes coarctatus
NHMSYS0000875934,1,5,31,10,mature,allow,NHMSYS0000875934,NBNORG0000041954,Eumenes coarctatus
NBNSYS0100003683,1,3,31,12,mature,allow,NBNSYS0100003683,NBNORG0000042268,Lasius platythorax
NBNSYS0100003685,1,4,30,9,mature,allow,NBNSYS0100003685,NBNORG0000042270,Lasius sabularum
NBNSYS0100003766,1,10,31,10,mature,allow,NBNSYS0100003766,NBNORG0000042320,Linepithema humile
NBNSYS0100004083,1,4,30,9,mature,allow,NBNSYS0100004083,NBNORG0000042535,Mimesa equestris
NBNSYS0100004089,1,5,31,10,mature,allow,NBNSYS0100004089,NBNORG0000042539,Mimumesa dahlbomi
NBNSYS0100004091,1,6,30,9,mature,allow,NBNSYS0100004091,NBNORG0000042540,Mimumesa spooneri
NBNSYS0100004273,1,6,31,8,mature,allow,NBNSYS0100004273,NBNORG0000042645,Nomada roberjeotiana
NBNSYS0100004491,1,5,30,9,mature,allow,NBNSYS0100004491,NBNORG0000042798,Passaloecus turionum
NBNSYS0100004564,1,7,31,7,mature,allow,NBNSYS0100004564,NBNORG0000042846,Philoctetes truncatus
NBNSYS0100004922,1,5,30,9,mature,allow,NBNSYS0100004922,NBNORG0000043060,Pseudomalus auratus
NBNSYS0100004923,1,5,30,9,mature,allow,NBNSYS0100004923,NBNORG0000043061,Pseudomalus violaceus
NBNSYS0100004936,1,4,31,8,mature,allow,NBNSYS0100004936,NBNORG0000043074,Pseudospinolia neglecta
NBNSYS0100005540,1,4,30,9,mature,allow,NBNSYS0100005540,NBNORG0000043301,Smicromyrme rufipes
NBNSYS0100005568,1,1,31,10,mature,allow,NBNSYS0100005568,NBNORG0000043315,Sphecodes geoffrellus
NBNSYS0100005571,1,6,31,10,mature,allow,NBNSYS0100005571,NBNORG0000043317,Spilomena curruca
NBNSYS0100005585,1,2,31,12,mature,allow,NBNSYS0100005585,NBNORG0000043327,Stenamma debile
NBNSYS0100005641,1,5,30,9,mature,allow,NBNSYS0100005641,NBNORG0000043365,Symmorphus bifasciatus
NHMSYS0000873270,1,5,31,7,mature,allow,NHMSYS0000873270,NBNORG0000072023,Tachysphex unicolor sensu lato
NHMSYS0000873272,1,3,31,12,mature,allow,NHMSYS0000873272,NBNORG0000072025,Trypoxylon figulus sensu lato
NHMSYS0000875032,1,6,31,8,mature,,NHMSYS0000875032,NBNORG0000072027,Agenioideus sericeus
NHMSYS0000875038,1,5,30,9,mature,,NHMSYS0000875038,NBNORG0000072029,Ammophila pubescens
NHMSYS0000875039,1,4,31,10,mature,allow,NHMSYS0000875039,NBNORG0000072030,Ammophila sabulosa
NHMSYS0000875042,1,5,30,6,mature,allow,NHMSYS0000875042,NBNORG0000072032,Ancistrocerus antilope
NHMSYS0000875045,1,3,31,10,mature,allow,NHMSYS0000875045,NBNORG0000072033,Ancistrocerus gazella
