tvk,code,taxon,rtvk,organism_key
NBNSYS0000173595,4,Acrosorium ciliolatum,NHMSYS0021059870,NBNORG0000029265
NBNSYS0000173597,5,Acrothrix gracilis,NHMSYS0021058440,NBNORG0000029266
NBNSYS0000173655,2,Ahnfeltia plicata,NHMSYS0021059471,NBNORG0000029311
NBNSYS0000173661,1,Alaria esculenta,NHMSYS0021058671,NBNORG0000029313
NBNSYS0000173960,4,Arthrocladia villosa,NHMSYS0021058374,NBNORG0000029524
NBNSYS0000173980,1,Ascophyllum nodosum,NHMSYS0021058637,NBNORG0000029537
NHMSYS0001596565,6,Ascophyllum nodosum,NHMSYS0021058637,NBNORG0000029537
NBNSYS0000173988,5,Asperococcus scaber,NHMSYS0021058452,NBNORG0000029540
NHMSYS0000377514,5,Acrochaetium battersianum,NHMSYS0021059643,NBNORG0000029565
NHMSYS0000567903,5,Colaconema caespitosum,NHMSYS0021060061,NBNORG0000029566
NHMSYS0000377557,4,Colaconema daviesii,NHMSYS0021060073,NBNORG0000029569
NHMSYS0000567904,4,Colaconema endophyticum,NHMSYS0021060075,NBNORG0000029571
NHMSYS0000377519,5,Acrochaetium endozoicum,NHMSYS0021059652,NBNORG0000029572
NHMSYS0000377524,5,Acrochaetium parvulum,NHMSYS0021059680,NBNORG0000029574
NHMSYS0000377611,3,Rhodochorton purpureum,NHMSYS0021059713,NBNORG0000029575
NHMSYS0000377525,5,Acrochaetium rosulatum,NHMSYS0021059684,NBNORG0000029576
NHMSYS0000377526,5,Acrochaetium sanctae-mariae,NHMSYS0021059686,NBNORG0000029577
NHMSYS0000567747,5,Acrochaetium secundatum,NHMSYS0021059692,NBNORG0000029578
NHMSYS0000567750,5,Acrochaetium secundatum,NHMSYS0021059692,NBNORG0000029578
NBNSYS0000174141,5,Blastophysa rhizopus,NHMSYS0021059171,NBNORG0000029640
NBNSYS0000174167,1,Bonnemaisonia hamifera,NHMSYS0021059732,NBNORG0000029654
NBNSYS0000174172,2,Bostrychia scorpioides,NHMSYS0021059913,NBNORG0000029657
NBNSYS0000174263,2,Calliblepharis ciliata,NHMSYS0021060129,NBNORG0000029717
NBNSYS0000174299,3,Callophyllis laciniata,NHMSYS0021060171,NBNORG0000029732
NBNSYS0000174373,2,Carpomitra costata,NHMSYS0021058765,NBNORG0000029781
NBNSYS0000174418,5,Ceramium diaphanum,NHMSYS0021059794,NBNORG0000029808
NBNSYS0000174422,4,Gayliella flaccida,NHMSYS0021059809,NBNORG0000029809
NBNSYS0000174423,3,Ceramium gaditanum,NHMSYS0021059797,NBNORG0000029810
NHMSYS0000377544,5,Ceramium virgatum,NHMSYS0021059806,NBNORG0000029811
NBNSYS0000174429,3,Ceramium secundatum,NHMSYS0021059799,NBNORG0000029812
NBNSYS0000174430,3,Ceramium shuttleworthianum,NHMSYS0021059800,NBNORG0000029813
NHMSYS0000567850,5,Chaetomorpha linum,NHMSYS0021059205,NBNORG0000029837
NHMSYS0000567788,4,Asperococcus fistulosus,NHMSYS0021058449,NBNORG0000029854
NBNSYS0000174508,3,Chondracanthus acicularis,NHMSYS0021060154,NBNORG0000029862
NBNSYS0000174509,4,Chondracanthus teedei,NHMSYS0021060156,NBNORG0000029863
NBNSYS0000174513,1,Chondrus crispus,NHMSYS0021060157,NBNORG0000029865
NBNSYS0000174521,1,Chorda filum,NHMSYS0021058674,NBNORG0000029872
NHMSYS0000377582,3,Halosiphon tomentosus,NHMSYS0021058770,NBNORG0000029873
NBNSYS0000174549,4,Chylocladia verticillata,NHMSYS0021060303,NBNORG0000029889
NBNSYS0000174584,5,Cladophora dalmatica,NHMSYS0021059214,NBNORG0000029912
NBNSYS0000174589,5,Cladophora hutchinsiae,NHMSYS0021059218,NBNORG0000029913
NBNSYS0000174590,5,Cladophora laetevirens,NHMSYS0021059219,NBNORG0000029914
NBNSYS0000174591,5,Cladophora lehmanniana,NHMSYS0021059220,NBNORG0000029915
NBNSYS0000174592,5,Cladophora liniformis,NHMSYS0021059221,NBNORG0000029916
NBNSYS0000174594,3,Cladophora pellucida,NHMSYS0021059223,NBNORG0000029917
NBNSYS0000174595,5,Cladophora pygmaea,NHMSYS0021059225,NBNORG0000029918
NBNSYS0000174597,5,Cladophora rupestris,NHMSYS0021059229,NBNORG0000029919
NBNSYS0000174598,5,Cladophora sericea,NHMSYS0021059230,NBNORG0000029920
NBNSYS0000174657,5,Codium tomentosum,NHMSYS0021059183,NBNORG0000029950
NBNSYS0000174658,5,Codium vermilara,NHMSYS0021059184,NBNORG0000029951
NBNSYS0000174680,5,Compsothamnion gracillimum,NHMSYS0021060018,NBNORG0000029959
NBNSYS0000174689,4,Corallina officinalis,NHMSYS0021059479,NBNORG0000029963
