code,organism_key,taxon
1,NBNORG0000006885,Podiceps cristatus
1,NBNORG0000006886,Tachybaptus ruficollis
1,NBNORG0000006887,Fulmarus glacialis
2,NBNORG0000006888,Phalacrocorax carbo
2,NBNORG0000006889,Gulosus aristotelis
1,NBNORG0000006890,Ardea cinerea
1,NBNORG0000006891,Anas platyrhynchos
1,NBNORG0000006892,Tadorna tadorna
1,NBNORG0000006893,Branta canadensis
1,NBNORG0000006894,Cygnus olor
2,NBNORG0000006895,Fratercula arctica
2,NBNORG0000006896,Puffinus puffinus
1,NBNORG0000006897,Gallinula chloropus
1,NBNORG0000006898,Fulica atra
1,NBNORG0000006899,Haematopus ostralegus
1,NBNORG0000006900,Vanellus vanellus
2,NBNORG0000006901,Charadrius hiaticula
2,NBNORG0000006902,Pluvialis apricaria
2,NBNORG0000006903,Gallinago gallinago
1,NBNORG0000006904,Scolopax rusticola
2,NBNORG0000006905,Numenius arquata
2,NBNORG0000006906,Actitis hypoleucos
2,NBNORG0000006907,Tringa totanus
2,NBNORG0000006908,Calidris alpina
2,NBNORG0000006909,Larus marinus
2,NBNORG0000006910,Larus fuscus
2,NBNORG0000006911,Larus argentatus
1,NBNORG0000006912,Rissa tridactyla
3,NBNORG0000006913,Alca torda
3,NBNORG0000006914,Uria aalge
2,NBNORG0000006916,Mergus merganser
1,NBNORG0000006917,Anas crecca
2,NBNORG0000006918,Spatula querquedula
1,NBNORG0000006919,Aythya ferina
3,NBNORG0000006920,Sterna hirundo
1,NBNORG0000006921,Aythya fuligula
2,NBNORG0000006922,Pluvialis squatarola
1,NBNORG0000006923,Arenaria interpres
2,NBNORG0000006924,Lymnocryptes minimus
2,NBNORG0000006925,Numenius phaeopus
2,NBNORG0000006926,Limosa limosa
2,NBNORG0000006927,Limosa lapponica
2,NBNORG0000006928,Tringa ochropus
3,NBNORG0000006929,Tringa glareola
2,NBNORG0000006930,Tringa erythropus
2,NBNORG0000006931,Tringa nebularia
2,NBNORG0000006932,Calidris canutus
2,NBNORG0000006933,Calidris alba
2,NBNORG0000006934,Calidris pugnax
1,NBNORG0000006935,Recurvirostra avosetta
4,NBNORG0000006936,Calidris bairdii
2,NBNORG0000006937,Calidris subruficollis
3,NBNORG0000006938,Charadrius alexandrinus
3,NBNORG0000006939,Limnodromus scolopaceus
2,NBNORG0000006940,Charadrius dubius
3,NBNORG0000006941,Calidris minuta
4,NBNORG0000006942,Tringa flavipes
2,NBNORG0000006943,Phalaropus fulicarius
3,NBNORG0000006944,Calidris melanotos
2,NBNORG0000006945,Calidris maritima
2,NBNORG0000006946,Phalaropus tricolor
2,NBNORG0000006947,Phalaropus lobatus
3,NBNORG0000006948,Calidris temminckii
4,NBNORG0000006949,Charadrius leschenaultii
2,NBNORG0000006950,Charadrius morinellus
1,NBNORG0000006951,Himantopus himantopus
4,NBNORG0000006952,Tringa solitaria
4,NBNORG0000006953,Tringa melanoleuca
3,NBNORG0000006954,Calidris falcinellus
4,NBNORG0000006955,Gallinago media
4,NBNORG0000006956,Tringa stagnatilis
1,NBNORG0000006957,Mareca penelope
1,NBNORG0000006958,Anas acuta
2,NBNORG0000006959,Bucephala clangula
1,NBNORG0000006960,Mareca strepera
2,NBNORG0000006961,Aythya marila
2,NBNORG0000006962,Clangula hyemalis
2,NBNORG0000006963,Melanitta fusca
2,NBNORG0000006964,Melanitta nigra
1,NBNORG0000006965,Somateria mollissima
2,NBNORG0000006966,Mergus serrator
3,NBNORG0000006967,Cygnus cygnus
3,NBNORG0000006968,Cygnus columbianus
1,NBNORG0000006969,Anser anser
3,NBNORG0000006970,Anser fabalis/serrirostris
1,NBNORG0000006971,Branta leucopsis
2,NBNORG0000006972,Gavia stellata
3,NBNORG0000006973,Gavia arctica
3,NBNORG0000006974,Gavia immer
3,NBNORG0000006975,Podilymbus podiceps
2,NBNORG0000006976,Podiceps grisegena
2,NBNORG0000006977,Podiceps auritus
2,NBNORG0000006978,Podiceps nigricollis
3,NBNORG0000006979,Calonectris diomedea
3,NBNORG0000006980,Ardenna gravis
2,NBNORG0000006981,Ardenna grisea
4,NBNORG0000006983,Oceanites oceanicus
3,NBNORG0000006984,Hydrobates pelagicus
1,NBNORG0000006985,Plegadis falcinellus
1,NBNORG0000006986,Platalea leucorodia
2,NBNORG0000006987,Phoenicopterus ruber
2,NBNORG0000006988,Anser erythropus
2,NBNORG0000006989,Anser caerulescens
1,NBNORG0000006990,Branta bernicla
1,NBNORG0000006991,Branta ruficollis
3,NBNORG0000006992,Mareca americana
2,NBNORG0000006993,Anas rubripes
2,NBNORG0000006994,Netta rufina
3,NBNORG0000006995,Aythya nyroca
3,NBNORG0000006996,Somateria spectabilis
2,NBNORG0000006997,Polysticta stelleri
2,NBNORG0000006998,Histrionicus histrionicus
3,NBNORG0000006999,Melanitta perspicillata
2,NBNORG0000007000,Bucephala albeola
4,NBNORG0000007001,Bucephala islandica
1,NBNORG0000007002,Haliaeetus albicilla
2,NBNORG0000007003,Pandion haliaetus
4,NBNORG0000007004,Glareola pratincola
2,NBNORG0000007005,Charadrius vociferus
4,NBNORG0000007006,Calidris pusilla
4,NBNORG0000007007,Calidris mauri
4,NBNORG0000007008,Calidris minutilla
4,NBNORG0000007009,Calidris acuminata
4,NBNORG0000007010,Limnodromus griseus
4,NBNORG0000007011,Numenius minutus
1,NBNORG0000007012,Numenius borealis
2,NBNORG0000007013,Bartramia longicauda
3,NBNORG0000007014,Stercorarius pomarinus
3,NBNORG0000007015,Stercorarius parasiticus
3,NBNORG0000007016,Stercorarius longicaudus
2,NBNORG0000007017,Stercorarius skua
2,NBNORG0000007018,Ichthyaetus melanocephalus
3,NBNORG0000007019,Leucophaeus atricilla
3,NBNORG0000007020,Leucophaeus pipixcan
3,NBNORG0000007021,Larus delawarensis
2,NBNORG0000007022,Larus canus
2,NBNORG0000007023,Larus glaucoides
2,NBNORG0000007024,Larus hyperboreus
2,NBNORG0000007025,Rhodostethia rosea
1,NBNORG0000007026,Pagophila eburnea
3,NBNORG0000007027,Gelochelidon nilotica
3,NBNORG0000007028,Thalasseus albididorsalis/maximus
3,NBNORG0000007029,Thalasseus bengalensis
1,NBNORG0000007030,Thalasseus sandvicensis
2,NBNORG0000007031,Sterna dougallii
3,NBNORG0000007032,Sterna paradisaea
4,NBNORG0000007033,Sterna forsteri
2,NBNORG0000007034,Chlidonias niger
3,NBNORG0000007035,Chlidonias leucopterus
4,NBNORG0000007036,Uria lomvia
2,NBNORG0000007037,Cepphus grylle
2,NBNORG0000007038,Alle alle
2,NBNORG0000007039,Passerina cyanea
3,NBNORG0000007042,Motacilla flava flava
3,NBNORG0000007043,Motacilla flava flavissima
3,NBNORG0000007044,Motacilla flava thunbergi
3,NBNORG0000007045,Motacilla alba alba
2,NBNORG0000007046,Motacilla alba yarrellii
4,NBNORG0000024926,Acanthis flammea flammea
1,NBNORG0000027160,Alcidae
1,NBNORG0000027667,Laridae
1,NBNORG0000027932,Podicipedidae
1,NBNORG0000028100,Laridae
1,NBNORG0000028379,Stercorariidae
4,NBNORG0000028385,Zapornia parva
1,NBNORG0000040556,Puffinus
2,NBNORG0000040560,Morus bassanus
1,NBNORG0000040570,Cygnus
4,NBNORG0000040587,Charadrius semipalmatus
4,NBNORG0000040589,Pluvialis fulva
3,NBNORG0000040595,Calidris ferruginea
4,NBNORG0000040596,Calidris ruficollis
1,NBNORG0000040683,Sterna paradisaea/hirundo
3,NBNORG0000060581,Accipiter gentilis
1,NBNORG0000060582,Accipiter nisus
3,NBNORG0000060584,Arundinax aedon
4,NBNORG0000060585,Acrocephalus agricola
2,NBNORG0000060586,Acrocephalus arundinaceus
4,NBNORG0000060587,Acrocephalus dumetorum
3,NBNORG0000060588,Acrocephalus melanopogon
3,NBNORG0000060589,Acrocephalus paludicola
4,NBNORG0000060590,Acrocephalus palustris
2,NBNORG0000060591,Acrocephalus schoenobaenus
2,NBNORG0000060592,Acrocephalus scirpaceus
4,NBNORG0000060593,Actitis macularius
1,NBNORG0000060595,Aegithalos caudatus
2,NBNORG0000060597,Aegolius funereus
2,NBNORG0000060599,Aix galericulata
2,NBNORG0000060601,Alauda arvensis
1,NBNORG0000060603,Alcedo atthis
1,NBNORG0000060605,Alectoris rufa
2,NBNORG0000060607,Anas carolinensis
1,NBNORG0000060608,Spatula clypeata
3,NBNORG0000060609,Spatula discors
2,NBNORG0000060610,Anser albifrons
2,NBNORG0000060611,Anser brachyrhynchus
3,NBNORG0000060613,Anthus campestris
3,NBNORG0000060614,Anthus cervinus
4,NBNORG0000060615,Anthus godlewskii
4,NBNORG0000060616,Anthus gustavi
3,NBNORG0000060617,Anthus hodgsoni
2,NBNORG0000060618,Anthus petrosus
2,NBNORG0000060619,Anthus pratensis
4,NBNORG0000060620,Anthus rubescens
3,NBNORG0000060621,Anthus spinoletta
2,NBNORG0000060622,Anthus trivialis
2,NBNORG0000060624,Apus affinis
1,NBNORG0000060625,Apus apus
2,NBNORG0000060626,Tachymarptis melba
3,NBNORG0000060627,Apus pacificus
4,NBNORG0000060628,Apus pallidus
2,NBNORG0000060630,Aquila chrysaetos
4,NBNORG0000060631,Clanga clanga
2,NBNORG0000060632,Ardea alba
2,NBNORG0000060633,Ardea purpurea
3,NBNORG0000060635,Ardeola ralloides
2,NBNORG0000060638,Asio flammeus
2,NBNORG0000060639,Asio otus
1,NBNORG0000060641,Athene noctua
4,NBNORG0000060642,Aythya affinis
3,NBNORG0000060643,Aythya americana
3,NBNORG0000060644,Aythya collaris
3,NBNORG0000060645,Aythya valisineria
4,NBNORG0000060647,Bombycilla cedrorum
1,NBNORG0000060648,Bombycilla garrulus
3,NBNORG0000060650,Botaurus lentiginosus
1,NBNORG0000060651,Botaurus stellaris
2,NBNORG0000060653,Bubo scandiacus
2,NBNORG0000060655,Bubulcus ibis
2,NBNORG0000060657,Bucanetes githagineus
4,NBNORG0000060659,Bulweria bulwerii
1,NBNORG0000060661,Burhinus oedicnemus
1,NBNORG0000060663,Buteo buteo
2,NBNORG0000060664,Buteo lagopus
2,NBNORG0000060666,Butorides virescens
