tvk,start_day,start_month,end_day,end_month,stage,organism_key,allow_org_key,rtvk,taxon
NBNSYS0000000033,10,3,31,10,mature,NBNORG0000006906,,NHMSYS0021053542,Actitis hypoleucos
NBNSYS0000000136,1,3,15,10,mature,NBNORG0000006918,allow,NHMSYS0021276106,Spatula querquedula
NBNSYS0000000138,1,4,15,11,mature,NBNORG0000006920,allow,NBNSYS0000000138,Sterna hirundo
NBNSYS0000000141,1,7,31,5,mature,NBNORG0000006922,allow,NBNSYS0000000141,Pluvialis squatarola
NBNSYS0000000143,1,5,31,8,mature,NBNORG0000006924,allow,NBNSYS0000000143,Lymnocryptes minimus
NBNSYS0000000144,10,4,20,11,mature,NBNORG0000006925,allow,NBNSYS0000000144,Numenius phaeopus
NBNSYS0000000146,1,6,30,6,mature,NBNORG0000006927,allow,NBNSYS0000000146,Limosa lapponica
NBNSYS0000000147,1,6,30,6,mature,NBNORG0000006928,allow,NBNSYS0000000147,Tringa ochropus
NBNSYS0000000148,10,4,25,9,mature,NBNORG0000006929,allow,NBNSYS0000000148,Tringa glareola
NBNSYS0000000149,1,6,30,6,mature,NBNORG0000006930,allow,NBNSYS0000000149,Tringa erythropus
NBNSYS0000000151,1,6,30,6,mature,NBNORG0000006932,allow,NBNSYS0000000151,Calidris canutus
NBNSYS0000000152,1,6,30,6,mature,NBNORG0000006933,allow,NBNSYS0000000152,Calidris alba
NBNSYS0000000162,1,3,20,9,mature,NBNORG0000006940,allow,NBNSYS0000000162,Charadrius dubius
NBNSYS0000000163,10,4,20,11,mature,NBNORG0000006941,allow,NBNSYS0000000163,Calidris minuta
NBNSYS0000000165,1,6,30,6,mature,NBNORG0000006943,allow,NBNSYS0000000165,Phalaropus fulicarius
NBNSYS0000000166,1,5,25,10,mature,NBNORG0000006944,allow,NBNSYS0000000166,Calidris melanotos
NBNSYS0000000167,31,5,30,6,mature,NBNORG0000006945,allow,NBNSYS0000000167,Calidris maritima
NBNSYS0000000172,10,5,30,8,mature,NBNORG0000006947,allow,NBNSYS0000000172,Phalaropus lobatus
NBNSYS0000000174,25,4,1,11,mature,NBNORG0000006948,allow,NBNSYS0000000174,Calidris temminckii
NBNSYS0000000176,10,4,10,11,mature,NBNORG0000006950,,NBNSYS0000000176,Charadrius morinellus
NBNSYS0000000189,1,5,31,8,mature,NBNORG0000006958,allow,NBNSYS0000000189,Anas acuta
NBNSYS0000000193,21,5,31,8,mature,NBNORG0000006961,allow,NBNSYS0000000193,Aythya marila
NBNSYS0000000194,21,5,9,9,mature,NBNORG0000006962,allow,NBNSYS0000000194,Clangula hyemalis
NBNSYS0000000195,6,5,9,9,mature,NBNORG0000006963,allow,NBNSYS0000000195,Melanitta fusca
NBNSYS0000000199,2,4,30,9,mature,NBNORG0000006967,,NBNSYS0000000199,Cygnus cygnus
NBNSYS0000000200,2,4,30,9,mature,NBNORG0000006968,allow,NBNSYS0000000200,Cygnus columbianus
NBNSYS0000000213,21,4,30,9,mature,NBNORG0000006970,allow,NHMSYS0021621879,Anser fabalis/serrirostris
NBNSYS0000000214,26,4,14,9,mature,NBNORG0000006971,,NBNSYS0000000214,Branta leucopsis
NBNSYS0000000220,31,5,15,10,mature,NBNORG0000006974,,NBNSYS0000000220,Gavia immer
NBNSYS0000000223,31,5,14,9,mature,NBNORG0000006976,allow,NBNSYS0000000223,Podiceps grisegena
NBNSYS0000000236,15,3,30,10,mature,NBNORG0000006984,allow,NBNSYS0000000236,Hydrobates pelagicus
NBNSYS0000000260,26,4,14,9,mature,NBNORG0000006990,,NBNSYS0000000260,Branta bernicla
NBNSYS0000000292,15,3,15,10,mature,NBNORG0000007003,allow,NBNSYS0000000292,Pandion haliaetus
NBNSYS0000000340,15,3,31,10,mature,NBNORG0000007014,allow,NBNSYS0000000340,Stercorarius pomarinus
NBNSYS0000000341,15,3,31,10,mature,NBNORG0000007015,allow,NBNSYS0000000341,Stercorarius parasiticus
NBNSYS0000000342,1,5,1,12,mature,NBNORG0000007016,allow,NBNSYS0000000342,Stercorarius longicaudus
NBNSYS0000000343,15,3,31,10,mature,NBNORG0000007017,,NHMSYS0021053549,Stercorarius skua
NBNSYS0000000355,31,5,29,9,mature,NBNORG0000007023,allow,NBNSYS0000000355,Larus glaucoides
NBNSYS0000000356,1,5,24,8,mature,NBNORG0000007024,allow,NBNSYS0000000356,Larus hyperboreus
NBNSYS0000000363,10,3,15,10,mature,NBNORG0000007030,,NHMSYS0021274181,Thalasseus sandvicensis
NBNSYS0000000364,25,4,20,9,mature,NBNORG0000007031,allow,NBNSYS0000000364,Sterna dougallii
NBNSYS0000000365,1,4,5,11,mature,NBNORG0000007032,allow,NBNSYS0000000365,Sterna paradisaea
NBNSYS0000000372,10,4,20,10,mature,NBNORG0000007034,allow,NBNSYS0000000372,Chlidonias niger
NBNSYS0000000377,1,5,30,9,mature,NBNORG0000007038,allow,NBNSYS0000000377,Alle alle
NBNSYS0000001342,1,4,30,9,mature,NBNORG0000007042,allow,NBNSYS0000001342,Motacilla flava flava
NBNSYS0000188700,15,4,20,11,mature,NBNORG0000040595,allow,NBNSYS0000188700,Calidris ferruginea
NHMSYS0000530128,20,5,20,10,mature,NBNORG0000060590,allow,NHMSYS0000530128,Acrocephalus palustris
NHMSYS0000530129,5,4,15,10,mature,NBNORG0000060591,allow,NHMSYS0000530129,Acrocephalus schoenobaenus
NHMSYS0000530130,10,4,15,11,mature,NBNORG0000060592,allow,NHMSYS0000530130,Acrocephalus scirpaceus
NHMSYS0000530149,26,4,30,9,mature,NBNORG0000060610,allow,NHMSYS0000530149,Anser albifrons
NHMSYS0000530150,2,6,14,9,mature,NBNORG0000060611,allow,NHMSYS0000530150,Anser brachyrhynchus
NHMSYS0000530161,26,4,17,10,mature,NBNORG0000060621,allow,NHMSYS0000530161,Anthus spinoletta
NHMSYS0000530162,1,4,1,11,mature,NBNORG0000060622,allow,NHMSYS0000530162,Anthus trivialis
NHMSYS0000530165,10,4,1,11,mature,NBNORG0000060625,allow,NHMSYS0000530165,Apus apus
NHMSYS0000530207,21,5,30,9,mature,NBNORG0000060648,allow,NHMSYS0000530207,Bombycilla garrulus
NHMSYS0000530223,1,3,10,10,mature,NBNORG0000060661,,NHMSYS0000530223,Burhinus oedicnemus
NHMSYS0000530226,16,5,9,9,mature,NBNORG0000060664,allow,NHMSYS0000530226,Buteo lagopus
NHMSYS0000530233,2,6,9,9,mature,NBNORG0000060671,allow,NHMSYS0000530233,Calcarius lapponicus
NHMSYS0000530242,25,4,10,10,mature,NBNORG0000060680,,NHMSYS0000530242,Caprimulgus europaeus
NHMSYS0000530254,20,5,15,10,mature,NBNORG0000060692,allow,NHMSYS0000530254,Carpodacus erythrinus
NHMSYS0000530296,15,4,5,9,mature,NBNORG0000060733,,NHMSYS0000530296,Circus pygargus
NHMSYS0000530319,20,4,5,9,mature,NBNORG0000060756,allow,NHMSYS0000530319,Coturnix coturnix
NHMSYS0000530322,15,4,1,11,mature,NBNORG0000060758,,NHMSYS0000530322,Crex crex
NHMSYS0000530324,10,4,20,10,mature,NBNORG0000060760,allow,NHMSYS0000530324,Cuculus canorus
NHMSYS0000530329,10,3,1,12,mature,NBNORG0000060764,allow,NHMSYS0000530329,Delichon urbicum
