organism_key,taxon,stage,code
NBNORG0000009210,Abraxas grossulariata,mature,1
NBNORG0000009211,Abraxas sylvata,mature,1
NBNORG0000041013,Abrostola tripartita,mature,2
NBNORG0000009564,Abrostola triplasia,mature,2
NBNORG0000057238,Acanthopsyche atra,mature,3
NBNORG0000057239,Acasis viretata,mature,1
NBNORG0000057240,Acentria ephemerella,mature,1
NBNORG0000009260,Acherontia atropos,mature,1
NBNORG0000009060,Achlya flavicornis,mature,1
NBNORG0000057241,Achlya flavicornis flavicornis,mature,1
NBNORG0000008833,Achlya flavicornis galbanus,mature,1
NBNORG0000008834,Achlya flavicornis scotica,mature,1
NBNORG0000057242,Achroia grisella,mature,1
NBNORG0000057243,Acleris abietana,mature,2
NBNORG0000057244,Acleris aspersana,mature,2
NBNORG0000041024,Acleris bergmanniana,mature,1
NBNORG0000057245,Acleris caledoniana,mature,4
NBNORG0000057246,Acleris comariana,mature,4
NBNORG0000057247,Acleris cristana,mature,1
NBNORG0000104244,Acleris effractana,mature,4
NBNORG0000057248,Acleris emargana,mature,4
NBNORG0000057249,Acleris ferrugana,mature,4
NBNORG0000086926,Acleris ferrugana/notana,mature,6
NBNORG0000041025,Acleris forsskaleana,mature,1
NBNORG0000057250,Acleris hastiana,mature,2
NBNORG0000041026,Acleris holmiana,mature,1
NBNORG0000057251,Acleris hyemana,mature,1
NBNORG0000057252,Acleris kochiella,mature,2
NBNORG0000057253,Acleris laterana,mature,4
NBNORG0000086927,Acleris laterana/comariana,mature,6
NBNORG0000057254,Acleris lipsiana,mature,3
NBNORG0000057255,Acleris literana,mature,1
NBNORG0000057256,Acleris logiana,mature,2
NBNORG0000057257,Acleris lorquiniana,mature,3
NBNORG0000057258,Acleris maccana,mature,4
NBNORG0000057259,Acleris notana,mature,4
NBNORG0000057260,Acleris permutana,mature,3
NBNORG0000057261,Acleris rhombana,mature,1
NBNORG0000057262,Acleris rufana,mature,2
NBNORG0000057263,Acleris schalleriana,mature,2
NBNORG0000057264,Acleris shepherdana,mature,3
NBNORG0000057265,Acleris sparsana,mature,1
NBNORG0000057266,Acleris umbrana,mature,3
NBNORG0000057267,Acleris variegana,mature,1
NBNORG0000057268,Acompsia cinerella,mature,2
NBNORG0000041027,Acompsia schmidtiellus,mature,2
NBNORG0000009545,Acontia lucida,mature,1
NBNORG0000009544,Acontia trabealis,mature,1
NBNORG0000057271,Acosmetia caliginosa,mature,1
NBNORG0000043513,Acrobasis advenella,mature,2
NBNORG0000057272,Acrobasis consociella,mature,2
NBNORG0000043514,Acrobasis marmorea,mature,2
NBNORG0000059413,Acrobasis repandana,mature,2
NBNORG0000043515,Acrobasis suavella,mature,2
NBNORG0000059414,Acrobasis tumidana,mature,2
NBNORG0000057273,Acrocercops brongniardella,mature,1
NBNORG0000057274,Acroclita subsequana,mature,3
NBNORG0000018479,Acrolepia autumnitella,mature,2
NBNORG0000057276,Acrolepiopsis assectella,mature,2
NBNORG0000057277,Acrolepiopsis betulella,mature,3
NBNORG0000057278,Acrolepiopsis marcidella,mature,3
NBNORG0000059420,Acronicta,mature,6
NBNORG0000009454,Acronicta aceris,mature,1
NBNORG0000009456,Acronicta alni,mature,1
NBNORG0000057279,Acronicta auricoma,mature,2
NBNORG0000009455,Acronicta leporina,mature,1
NBNORG0000009458,Acronicta menyanthidis,mature,1
NBNORG0000008881,Acronicta menyanthidis menyanthidis,mature,1
NBNORG0000057284,Acronicta menyanthidis scotica,mature,1
NBNORG0000009457,Acronicta psi,mature,4
NBNORG0000086959,Acronicta psi/tridens,mature,6
NBNORG0000009459,Acronicta rumicis,mature,2
NBNORG0000057285,Acronicta strigosa,mature,1
