organism_key,taxon,stage,start_day,start_month,end_day,end_month
NBNORG0000009210,Abraxas grossulariata,mature,1,6,30,9
NBNORG0000009211,Abraxas sylvata,mature,7,5,21,9
NBNORG0000041013,Abrostola tripartita,mature,15,4,30,9
NBNORG0000009564,Abrostola triplasia,mature,1,4,15,10
NBNORG0000057238,Acanthopsyche atra,mature,1,5,30,6
NBNORG0000057239,Acasis viretata,mature,21,3,30,9
NBNORG0000057240,Acentria ephemerella,mature,21,5,15,9
NBNORG0000009260,Acherontia atropos,mature,21,4,7,11
NBNORG0000009060,Achlya flavicornis,mature,15,2,15,5
NBNORG0000057241,Achlya flavicornis flavicornis,mature,15,2,15,5
NBNORG0000008833,Achlya flavicornis galbanus,mature,15,2,15,5
NBNORG0000008834,Achlya flavicornis scotica,mature,15,2,15,5
NBNORG0000057242,Achroia grisella,mature,21,5,31,10
NBNORG0000057243,Acleris abietana,mature,31,8,1,6
NBNORG0000057244,Acleris aspersana,mature,1,7,30,9
NBNORG0000041024,Acleris bergmanniana,mature,21,5,31,8
NBNORG0000057245,Acleris caledoniana,mature,1,7,30,9
NBNORG0000057246,Acleris comariana,mature,1,6,30,11
NBNORG0000057247,Acleris cristana,mature,30,6,1,6
NBNORG0000104244,Acleris effractana,mature,1,7,31,10
NBNORG0000057248,Acleris emargana,mature,1,7,15,11
NBNORG0000057249,Acleris ferrugana,mature,1,1,31,12
NBNORG0000086926,Acleris ferrugana/notana,mature,1,1,31,12
NBNORG0000041025,Acleris forsskaleana,mature,21,5,31,10
NBNORG0000057250,Acleris hastiana,mature,31,5,1,5
NBNORG0000041026,Acleris holmiana,mature,1,7,31,8
NBNORG0000057251,Acleris hyemana,mature,31,7,1,7
NBNORG0000057252,Acleris kochiella,mature,31,5,1,5
NBNORG0000057253,Acleris laterana,mature,21,6,31,10
NBNORG0000086927,Acleris laterana/comariana,mature,1,6,30,11
NBNORG0000057254,Acleris lipsiana,mature,31,7,1,6
NBNORG0000057255,Acleris literana,mature,15,7,1,6
NBNORG0000057256,Acleris logiana,mature,1,1,31,12
NBNORG0000057257,Acleris lorquiniana,mature,1,6,31,10
NBNORG0000057258,Acleris maccana,mature,31,7,1,6
NBNORG0000057259,Acleris notana,mature,1,1,31,12
NBNORG0000057260,Acleris permutana,mature,1,8,30,9
NBNORG0000057261,Acleris rhombana,mature,1,6,30,11
NBNORG0000057262,Acleris rufana,mature,31,7,1,5
