"","organism_key","taxon","km100","km10","coord_system"
"1","NBNORG0000020645","Lipara lucens","SE","54","OSGB"
"2","NBNORG0000020645","Lipara lucens","SH","61","OSGB"
"3","NBNORG0000020645","Lipara lucens","SK","47","OSGB"
"4","NBNORG0000020645","Lipara lucens","SS","58 69 78","OSGB"
"5","NBNORG0000020645","Lipara lucens","ST","28 48","OSGB"
"6","NBNORG0000020645","Lipara lucens","SU","20 33 41 50 56 94","OSGB"
"7","NBNORG0000020645","Lipara lucens","SY","39 49 78","OSGB"
"8","NBNORG0000020645","Lipara lucens","SZ","19","OSGB"
"9","NBNORG0000020645","Lipara lucens","TF","70 71","OSGB"
"10","NBNORG0000020645","Lipara lucens","TG","24 31 32 41","OSGB"
"11","NBNORG0000020645","Lipara lucens","TL","28 52 56 57 66 77","OSGB"
"12","NBNORG0000020645","Lipara lucens","TM","45 46","OSGB"
"13","NBNORG0000020645","Lipara lucens","TQ","60 81","OSGB"
"14","NBNORG0000020648","Calamoncosis aprica","NH","45 46 47 55 56 57 65 66 67","OSGB"
"15","NBNORG0000020648","Calamoncosis aprica","NX","44 45 46 54 55 56 64 65 66","OSGB"
"16","NBNORG0000020648","Calamoncosis aprica","SJ","56 57 58 66 67 68 76 77 78","OSGB"
"17","NBNORG0000020648","Calamoncosis aprica","SN","50 60 70","OSGB"
"18","NBNORG0000020648","Calamoncosis aprica","SS","48 49 58 59 68 69 78 79","OSGB"
"19","NBNORG0000020648","Calamoncosis aprica","ST","32 33 34 35 42 43 44 45 52 53 54 55","OSGB"
"20","NBNORG0000020648","Calamoncosis aprica","SU","20 22 23 24 30 32 33 34 40 42 43 44","OSGB"
"21","NBNORG0000020648","Calamoncosis aprica","SY","48 49 58 59 67 68 69","OSGB"
"22","NBNORG0000020648","Calamoncosis aprica","SZ","28 29 38 39 48 49","OSGB"
"23","NBNORG0000020648","Calamoncosis aprica","TF","80 90","OSGB"
"24","NBNORG0000020648","Calamoncosis aprica","TG","00 20 21 22 23 30 31 32 33 40 41 42 50 51","OSGB"
"25","NBNORG0000020648","Calamoncosis aprica","TL","17 18 19 27 28 29 37 38 39 46 47 48 55 56 57 58 65 66 67 68 75 76 77 88 89 96 97 98 99","OSGB"
"26","NBNORG0000020648","Calamoncosis aprica","TM","06 07 08 09 11 12 13 16 17 18 21 22 23 24 25 26 33 34 35 36 44 45 46 47 48 49 57 58 59","OSGB"
"27","NBNORG0000020648","Calamoncosis aprica","TQ","56 57 58 66 67 68 76 77 78 91 92","OSGB"
"28","NBNORG0000020648","Calamoncosis aprica","TR","01 02 05 06 07 12 15 16 25 26 27 35 36 37","OSGB"
"29","NBNORG0000020650","Calamoncosis duinensis","SE","60 61 62 70 71 72 80 81 82","OSGB"
"30","NBNORG0000020650","Calamoncosis duinensis","SN","50 60 70 80","OSGB"
"31","NBNORG0000020650","Calamoncosis duinensis","SS","58 59 68 69 78 79 88 89","OSGB"
"32","NBNORG0000020650","Calamoncosis duinensis","ST","32 33 34 35 42 43 44 45 52 53 54 55","OSGB"
"33","NBNORG0000020650","Calamoncosis duinensis","SU","00 10 20 22 23 24 32 33 34 42 43 44","OSGB"
"34","NBNORG0000020650","Calamoncosis duinensis","SX","86 87 88 96 97 98","OSGB"
"35","NBNORG0000020650","Calamoncosis duinensis","SY","07 08","OSGB"
"36","NBNORG0000020650","Calamoncosis duinensis","SZ","08 09 19 28 29","OSGB"
"37","NBNORG0000020650","Calamoncosis duinensis","TA","03 04 05 13 14 15 23 24 25","OSGB"
"38","NBNORG0000020650","Calamoncosis duinensis","TF","63 64 73 74 83 84","OSGB"
"39","NBNORG0000020650","Calamoncosis duinensis","TG","21 22 23 31 32 33 41 42 51","OSGB"
"40","NBNORG0000020650","Calamoncosis duinensis","TL","46 47 48 55 56 57 58 65 66 67 68 75 76 77 78 86 87 88","OSGB"
"41","NBNORG0000020650","Calamoncosis duinensis","TM","11 12 13 14 15 21 22 23 24 25 26 33 34 35 36 37 38 44 45 46 47 48 57 58","OSGB"
"42","NBNORG0000020650","Calamoncosis duinensis","TQ","75 76 77 78 85 86 87 88 95 96 97 98","OSGB"
"43","NBNORG0000020650","Calamoncosis duinensis","TR","05 06 07 15 16 25 26 27 35 36 37 46 47","OSGB"
