tvk,code,organism_key,allow_org_key,rtvk,taxon
NBNSYS0000005598,1,NBNORG0000008960,allow,NBNSYS0000005598,Platycnemis pennipes
NBNSYS0000005599,1,NBNORG0000008961,allow,NBNSYS0000005599,Pyrrhosoma nymphula
NBNSYS0000005601,3,NBNORG0000008962,allow,NBNSYS0000005601,Ischnura pumilio
NBNSYS0000005602,2,NBNORG0000008963,allow,NBNSYS0000005602,Enallagma cyathigerum
NBNSYS0000005603,3,NBNORG0000008964,,NBNSYS0000005603,Coenagrion mercuriale
NBNSYS0000005604,3,NBNORG0000008965,allow,NBNSYS0000005604,Coenagrion scitulum
NBNSYS0000005605,4,NBNORG0000008966,allow,NBNSYS0000005605,Coenagrion pulchellum
NBNSYS0000005606,2,NBNORG0000008967,allow,NBNSYS0000005606,Coenagrion puella
NBNSYS0000005607,3,NBNORG0000008968,allow,NBNSYS0000005607,Coenagrion hastulatum
NBNSYS0000005608,6,NBNORG0000008969,allow,NBNSYS0000005608,Coenagrion armatum
NBNSYS0000005609,3,NBNORG0000008970,allow,NBNSYS0000005609,Coenagrion lunulatum
NBNSYS0000005610,2,NBNORG0000008971,allow,NBNSYS0000005610,Erythromma najas
NBNSYS0000005611,1,NBNORG0000008972,allow,NBNSYS0000005611,Ceriagrion tenellum
NBNSYS0000005612,3,NBNORG0000008973,allow,NBNSYS0000005612,Lestes barbarus
NBNSYS0000005613,2,NBNORG0000008974,allow,NBNSYS0000005613,Lestes sponsa
NBNSYS0000005614,3,NBNORG0000008975,allow,NBNSYS0000005614,Lestes dryas
NBNSYS0000005616,4,NBNORG0000008976,allow,NBNSYS0000005616,Calopteryx virgo
NBNSYS0000005617,4,NBNORG0000008977,allow,NBNSYS0000005617,Calopteryx splendens
NBNSYS0000005618,4,NBNORG0000008978,allow,NBNSYS0000005618,Sympecma fusca
NHMSYS0021009106,5,NBNORG0000008979,,NHMSYS0021009106,Stylurus flavipes
NBNSYS0000005620,1,NBNORG0000008980,allow,NBNSYS0000005620,Gomphus vulgatissimus
NBNSYS0000005621,1,NBNORG0000008981,allow,NBNSYS0000005621,Cordulegaster boltonii
NBNSYS0000005622,2,NBNORG0000008982,allow,NBNSYS0000005622,Brachytron pratense
NBNSYS0000005623,3,NBNORG0000008983,allow,NBNSYS0000005623,Aeshna caerulea
NBNSYS0000005624,1,NBNORG0000008984,allow,NBNSYS0000005624,Aeshna juncea
NBNSYS0000005625,1,NBNORG0000008985,allow,NBNSYS0000005625,Aeshna grandis
NBNSYS0000005626,1,NBNORG0000008986,allow,NBNSYS0000005626,Aeshna cyanea
NBNSYS0000005627,1,NBNORG0000008987,allow,NBNSYS0000005627,Aeshna mixta
NHMSYS0021009091,6,NBNORG0000008988,,NHMSYS0021689820,Aeshna isoceles
NBNSYS0000005630,1,NBNORG0000008989,allow,NBNSYS0000005630,Anax imperator
NHMSYS0021009098,4,NBNORG0000008990,allow,NHMSYS0021009098,Anax ephippiger
NBNSYS0000005632,2,NBNORG0000008991,allow,NBNSYS0000005632,Cordulia aenea
NBNSYS0000005635,3,NBNORG0000008992,allow,NBNSYS0000005635,Somatochlora arctica
NBNSYS0000005636,3,NBNORG0000008993,allow,NBNSYS0000005636,Oxygastra curtisii
NBNSYS0000005637,1,NBNORG0000008994,allow,NBNSYS0000005637,Libellula depressa
NBNSYS0000005638,2,NBNORG0000008995,allow,NBNSYS0000005638,Libellula fulva
NBNSYS0000005639,1,NBNORG0000008996,allow,NBNSYS0000005639,Libellula quadrimaculata
NBNSYS0000005640,2,NBNORG0000008997,allow,NBNSYS0000005640,Orthetrum coerulescens
NBNSYS0000005641,2,NBNORG0000008998,allow,NBNSYS0000005641,Orthetrum cancellatum
NBNSYS0000005642,5,NBNORG0000008999,allow,NBNSYS0000005642,Pantala flavescens
NBNSYS0000005643,4,NBNORG0000009000,allow,NBNSYS0000005643,Crocothemis erythraea
NBNSYS0000005644,5,NBNORG0000009001,allow,NBNSYS0000005644,Sympetrum vulgatum
NBNSYS0000005645,1,NBNORG0000009002,allow,NBNSYS0000005645,Sympetrum striolatum
NBNSYS0000005648,6,NBNORG0000009003,allow,NBNSYS0000005648,Sympetrum meridionale
NBNSYS0000005649,3,NBNORG0000009004,allow,NBNSYS0000005649,Sympetrum flaveolum
NBNSYS0000005650,2,NBNORG0000009005,allow,NBNSYS0000005650,Sympetrum sanguineum
NBNSYS0000005651,2,NBNORG0000009006,allow,NBNSYS0000005651,Sympetrum danae
NHMSYS0000344168,5,NBNORG0000052147,allow,NHMSYS0000344168,Anax junius
NHMSYS0000344169,3,NBNORG0000052148,allow,NHMSYS0000344169,Anax parthenope
NHMSYS0000344177,3,NBNORG0000052151,allow,NHMSYS0000344177,Erythromma viridulum
NHMSYS0000344179,1,NBNORG0000052153,allow,NHMSYS0000344179,Ischnura elegans
NHMSYS0000344182,6,NBNORG0000052154,allow,NHMSYS0000344182,Orthetrum brunneum
NHMSYS0000344188,3,NBNORG0000052156,,NHMSYS0000344188,Sympetrum fonscolombii
NBNSYS0000005645,1,NBNORG0000052157,allow,NBNSYS0000005645,Sympetrum striolatum
NHMSYS0000344190,3,NBNORG0000052158,allow,NHMSYS0000344190,Sympetrum pedemontanum
NHMSYS0000532361,5,NBNORG0000061169,,NHMSYS0000532361,Ischnura genei
NHMSYS0000532481,6,NBNORG0000061189,,NHMSYS0000532481,Somatochlora flavomaculata
NHMSYS0000532531,6,NBNORG0000061199,,NHMSYS0000532531,Leucorrhinia pectoralis
NHMSYS0020546806,4,NBNORG0000099276,allow,NHMSYS0020546806,Aeshna affinis
NHMSYS0021009068,6,NBNORG0000099277,,NHMSYS0021009068,Chalcolestes viridis
NHMSYS0020546892,1,NBNORG0000099278,allow,NHMSYS0020546892,Leucorrhinia dubia
NHMSYS0020546972,3,NBNORG0000099279,allow,NHMSYS0020546972,Somatochlora metallica
NHMSYS0021123700,3,NBNORG0000116355,allow,NHMSYS0021123700,Ischnura senegalensis
NHMSYS0021123706,5,NBNORG0000116356,allow,NHMSYS0021123706,Crocothemis servilia
