"organism_key","taxon","code"
"NBNORG0000011321","Ameletus inopinatus",3
"NBNORG0000011322","Siphlonurus alternatus",3
"NBNORG0000011323","Siphlonurus armatus",3
"NBNORG0000011324","Siphlonurus lacustris",3
"NBNORG0000011325","Baetis buceratus",3
"NBNORG0000011326","Baetis scambus",3
"NBNORG0000011327","Baetis vernus",3
"NBNORG0000011328","Cloeon simile",2
"NBNORG0000011329","Procloeon bifidum",3
"NBNORG0000011330","Arthroplea congener",5
"NBNORG0000011331","Ecdyonurus dispar",3
"NBNORG0000011332","Ecdyonurus insignis",2
"NBNORG0000011333","Ecdyonurus torrentis",2
"NBNORG0000011334","Ecdyonurus venosus",3
"NBNORG0000011335","Rhithrogena germanica",2
"NBNORG0000011336","Rhithrogena semicolorata",2
"NBNORG0000011337","Habrophlebia fusca",3
"NBNORG0000011338","Leptophlebia vespertina",3
"NBNORG0000011339","Paraleptophlebia cincta",3
"NBNORG0000011340","Paraleptophlebia submarginata",2
"NBNORG0000011341","Paraleptophlebia werneri",4
"NBNORG0000011342","Ephemerella notata",3
"NBNORG0000011343","Potamanthus luteus",2
"NBNORG0000011344","Ephemera lineata",2
"NBNORG0000011345","Ephemera vulgata",2
"NBNORG0000011346","Brachycercus harrisella",3
"NBNORG0000011347","Caenis macrura",3
"NBNORG0000011348","Caenis rivulorum",3
"NBNORG0000011349","Caenis robusta",3
"NBNORG0000041043","Baetis muticus",3
"NBNORG0000041346","Caenis beskidensis",4
"NBNORG0000041872","Electrogena affinis",4
"NBNORG0000041873","Electrogena lateralis",2
"NBNORG0000042238","Kageronia fuscogrisea",3
"NBNORG0000042249","Baetis atrebatinus",3
"NBNORG0000042639","Baetis digitatus",3
"NBNORG0000042640","Baetis niger",3
"NBNORG0000043272","Serratella ignita",2
"NBNORG0000047983","Baetis fuscatus",3
"NBNORG0000047984","Baetis rhodani/atlanticus",3
"NBNORG0000047985","Centroptilum luteolum",2
"NBNORG0000047986","Cloeon dipterum",2
"NBNORG0000047987","Procloeon pennulatum",2
"NBNORG0000047988","Caenis horaria",3
"NBNORG0000047989","Caenis luctuosa",3
"NBNORG0000047990","Caenis pseudorivulorum",4
"NBNORG0000047991","Caenis pusilla",3
"NBNORG0000047992","Ephemera danica",2
"NBNORG0000047993","Heptagenia longicauda",5
"NBNORG0000047994","Heptagenia sulphurea",1
"NBNORG0000047995","Leptophlebia marginata",3
