tvk,km100,km10,coord_system,organism_key,allow_org_key,rtvk,taxon
NBNSYS0000010859,NC,11 12 13 21 22 23 31 32 33 50 51 52 53 60 61 62 63 70 71 72 73 80 81 82 83 84 85 93 94 95,OSGB,NBNORG0000011321,allow,NBNSYS0000010859,Ameletus inopinatus
NBNSYS0000010859,ND,03 04 05,OSGB,NBNORG0000011321,allow,NBNSYS0000010859,Ameletus inopinatus
NBNSYS0000010859,NG,93 94 95,OSGB,NBNORG0000011321,allow,NBNSYS0000010859,Ameletus inopinatus
NBNSYS0000010859,NH,03 04 05 06 13 14 15 16 24 25 26 40 41 50 51 60 61 80 81 90 91,OSGB,NBNORG0000011321,allow,NBNSYS0000010859,Ameletus inopinatus
NBNSYS0000010859,NJ,00 01 10 11 20 21 30 31 40,OSGB,NBNORG0000011321,allow,NBNSYS0000010859,Ameletus inopinatus
NBNSYS0000010859,NM,77 78 79 87 88 89 97 98 99,OSGB,NBNORG0000011321,allow,NBNSYS0000010859,Ameletus inopinatus
NBNSYS0000010859,NN,20 21 22 23 30 31 32 33 40 41 42 43 46 47 48 49 50 51 52 56 57 58 59 66 67 68 69 70 80 89 90 97 98 99,OSGB,NBNORG0000011321,allow,NBNSYS0000010859,Ameletus inopinatus
NBNSYS0000010859,NO,06 07 08 09 16 17 18 19 25 26 27 28 29 35 36 37 38 39 45 46 47 48 49 56 57 58,OSGB,NBNORG0000011321,allow,NBNSYS0000010859,Ameletus inopinatus
NBNSYS0000010859,NS,50 51 60 61 70 71 76 77 78 79 86 87 88 89 96 97 98 99,OSGB,NBNORG0000011321,allow,NBNSYS0000010859,Ameletus inopinatus
NBNSYS0000010859,NT,31 32 33 41 42 43 51 52 53 60 70 80 90,OSGB,NBNORG0000011321,allow,NBNSYS0000010859,Ameletus inopinatus
NBNSYS0000010859,NX,59 69 79,OSGB,NBNORG0000011321,allow,NBNSYS0000010859,Ameletus inopinatus
NBNSYS0000010859,NY,01 02 03 10 11 12 13 20 21 22 23 30 31 32 33 40 41 42 44 45 46 50 51 52 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 72 73 74 77 78 79 82 83 84 85 86 88 89 94 95 96 98 99,OSGB,NBNORG0000011321,allow,NBNSYS0000010859,Ameletus inopinatus
NBNSYS0000010859,NZ,04 05 06 30 40 50,OSGB,NBNORG0000011321,allow,NBNSYS0000010859,Ameletus inopinatus
NBNSYS0000010859,SD,18 19 28 29 38 39 49 59 69 82 83 84 86 87 88 92 93 94 96 97 98,OSGB,NBNORG0000011321,allow,NBNSYS0000010859,Ameletus inopinatus
NBNSYS0000010859,SE,00 01 02 03 04 06 07 08 09 10 11 17 18 19 20 21 27 28 29 30 31 38 39 48 49 58 59,OSGB,NBNORG0000011321,allow,NBNSYS0000010859,Ameletus inopinatus
NBNSYS0000010859,SJ,87 88 89 95 96 97 98 99,OSGB,NBNORG0000011321,allow,NBNSYS0000010859,Ameletus inopinatus
NBNSYS0000010859,SK,05 06 07 08 09 15 16 17 18 19 27 28 29 38 39,OSGB,NBNORG0000011321,allow,NBNSYS0000010859,Ameletus inopinatus
NBNSYS0000010860,NT,60 61 70 71 80 81,OSGB,NBNORG0000011322,allow,NBNSYS0000010860,Siphlonurus alternatus
NBNSYS0000010860,NX,15 16 17 25 26 27 28 35 36 37 38 46 47 48,OSGB,NBNORG0000011322,allow,NBNSYS0000010860,Siphlonurus alternatus
NBNSYS0000010860,NY,69 79 89,OSGB,NBNORG0000011322,allow,NBNSYS0000010860,Siphlonurus alternatus
NBNSYS0000010861,SD,90,OSGB,NBNORG0000011323,allow,NBNSYS0000010861,Siphlonurus armatus
NBNSYS0000010861,SE,00 04 05 06 10 14 15 16 24 25 26,OSGB,NBNORG0000011323,allow,NBNSYS0000010861,Siphlonurus armatus
NBNSYS0000010861,SJ,98 99,OSGB,NBNORG0000011323,allow,NBNSYS0000010861,Siphlonurus armatus
NBNSYS0000010861,SK,08 09 18 19,OSGB,NBNORG0000011323,allow,NBNSYS0000010861,Siphlonurus armatus
NBNSYS0000010861,SU,81 82 83 91 92 93,OSGB,NBNORG0000011323,allow,NBNSYS0000010861,Siphlonurus armatus
