"species","preferred_species_name","tvk","recording_period","seasonal_recording_period","id_difficulty"
"Abax parallelepipedus","Abax parallelepipedus","NBNSYS0000007302",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Abax parallelus","Abax parallelus","NBNSYS0000007303","1913-01-01 to 1913-12-13",,"5: Identifications always require confirmation from a designated expert. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Acupalpus brunnipes","Acupalpus brunnipes","NBNSYS0000007432",,,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Acupalpus dubius","Acupalpus dubius","NBNSYS0000007435",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Acupalpus elegans","Acupalpus elegans","NBNSYS0000007436"," to 1952-12-13","05-01 to 09-30","5: Identifications always require confirmation from a designated expert. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Acupalpus exiguus","Acupalpus exiguus","NBNSYS0000007437",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Acupalpus flavicollis","Acupalpus flavicollis","NBNSYS0000007438",,,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Acupalpus maculatus","Acupalpus maculatus","NHMSYS0001716498","2003-01-01 to present",,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Acupalpus meridianus","Acupalpus meridianus","NBNSYS0000007439",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Acupalpus parvulus","Acupalpus parvulus","NHMSYS0001716499","2003-01-01 to present",,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
