"","organism_key","taxon","km100","km10","coord_system"
"1","NBNORG0000009824","Anasimyia contracta","SM","72 80 83 91 93","OSGB"
"2","NBNORG0000009824","Anasimyia contracta","NZ","14 16 24 27 33 34","OSGB"
"3","NBNORG0000009824","Anasimyia contracta","NT","52 63 64","OSGB"
"4","NBNORG0000009824","Anasimyia contracta","NU","00","OSGB"
"5","NBNORG0000009824","Anasimyia contracta","NS","33 35 41 75 88 89","OSGB"
"6","NBNORG0000009824","Anasimyia contracta","ST","19 27 28 33 34 38 40 41 42 44 48 55 57 59 60 61 64 66 73","OSGB"
"7","NBNORG0000009824","Anasimyia contracta","NN","52","OSGB"
"8","NBNORG0000009824","Anasimyia contracta","SK","00 23 27 35 39 43 44 45 46 47 48 49 53 57 58 63 66 73 80","OSGB"
"9","NBNORG0000009824","Anasimyia contracta","SH","33 38 46 47 53","OSGB"
"10","NBNORG0000009824","Anasimyia contracta","SN","10 14 30 40 41 51 57 62 69 79","OSGB"
"11","NBNORG0000009824","Anasimyia contracta","SW","62 83 87 96","OSGB"
"12","NBNORG0000009824","Anasimyia contracta","TG","30 31 32 41 42","OSGB"
"13","NBNORG0000009824","Anasimyia contracta","NH","95","OSGB"
"14","NBNORG0000009824","Anasimyia contracta","NY","56","OSGB"
"15","NBNORG0000009824","Anasimyia contracta","SO","05 09 14 34 41 51 60 61 66 71 72 78 82 86 91 92 95 96 98 99","OSGB"
"16","NBNORG0000009824","Anasimyia contracta","TQ","01 05 07 09 14 15 16 17 18 19 21 22 24 25 26 28 29 31 34 35 47 48 49 53 57 58 59 60 63 66 67 68 69 76 77 78 79 85 89 91 92 96 97 99","OSGB"
"17","NBNORG0000009824","Anasimyia contracta","SX","35 87","OSGB"
"18","NBNORG0000009824","Anasimyia contracta","TL","00 02 03 09 16 18 26 28 29 30 35 36 39 41 52 56 57 61 68 77 78 91 98 99","OSGB"
"19","NBNORG0000009824","Anasimyia contracta","SZ","08 39 68","OSGB"
"20","NBNORG0000009824","Anasimyia contracta","TF","03 11 15 16 20 62 90","OSGB"
"21","NBNORG0000009824","Anasimyia contracta","TR","01 02 03 16 35 36","OSGB"
"22","NBNORG0000009824","Anasimyia contracta","SY","59 67 68 78 98","OSGB"
"23","NBNORG0000009824","Anasimyia contracta","TM","03 14 15 25 35 37 39 46 47","OSGB"
"24","NBNORG0000009824","Anasimyia contracta","SJ","17 20 22 28 34 35 43 45 49 50 53 57 59 66 67 78 79 88 93 99","OSGB"
"25","NBNORG0000009824","Anasimyia contracta","SD","17 34 39 41 43 47 48 53 55 70 73 80 90","OSGB"
"26","NBNORG0000009824","Anasimyia contracta","SR","99","OSGB"
"27","NBNORG0000009824","Anasimyia contracta","SS","43 59 69 78 79","OSGB"
"28","NBNORG0000009824","Anasimyia contracta","SU","00 02 10 29 31 40 43 46 49 50 51 56 60 66 67 73 77 82 84 88 95","OSGB"
"29","NBNORG0000009824","Anasimyia contracta","SP","09 13 15 17 19 28 29 36 37 38 41 61 76 78 85 96","OSGB"
"30","NBNORG0000009824","Anasimyia contracta","SE","30 33 36 50 54 58 61 66 70 71 74 77 88 90","OSGB"
"31","NBNORG0000009825","Anasimyia interpuncta","SP","87","OSGB"
"32","NBNORG0000009825","Anasimyia interpuncta","TG","10 30","OSGB"
"33","NBNORG0000009825","Anasimyia interpuncta","TQ","17 47 48 57 58 60 71 91","OSGB"
