"species","preferred_species_name","tvk","recording_period","seasonal_recording_period","additional_checks_required","id_difficulty"
"Acrocera orbiculus","Acrocera orbiculus","NBNSYS0100027431",,"05-01 to 09-30",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. Beginners need to take specimens until they gain familiarity and experience. May be identifiable from a good photo or series of photos.              "
"Ogcodes gibbosus","Ogcodes gibbosus","NBNSYS0000007939",,"06-01 to 08-31",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. Beginners need to take specimens until they gain familiarity and experience. May be identifiable from a good photo or series of photos.              "
"Ogcodes pallipes","Ogcodes pallipes","NBNSYS0000007940",,"05-01 to 08-31",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. Beginners need to take specimens until they gain familiarity and experience. May be identifiable from a good photo or series of photos.              "
"Asilus crabroniformis","Asilus crabroniformis","NBNSYS0000007895",,"07-01 to 09-30",,"1: Can be identified at sight in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo."
"Choerades gilvus","Choerades gilvus","NBNSYS0100002378","1938-01-01 to 1951-12-31","06-01 to 07-31","2: Records for this species must always be verified (very rare, taxonomic uncertainty)","2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. Beginners need to take specimens until they gain familiarity and experience. May be identifiable from a good photo or series of photos.              "
"Choerades marginatus","Choerades marginatus","NBNSYS0100002379",,"05-01 to 09-30",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. Beginners need to take specimens until they gain familiarity and experience. May be identifiable from a good photo or series of photos.              "
"Dasypogon diadema","Dasypogon diadema","NBNSYS0000007913"," to 1899-12-31",,"2: Records for this species must always be verified (very rare, taxonomic uncertainty)","4: Voucher specimen should be retained. Confirmation would be required in the majority of cases, e.g. specimen having been checked by an acknowledged expert."
"Dioctria atricapilla","Dioctria atricapilla","NBNSYS0000007914",,"05-01 to 07-31",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. Beginners need to take specimens until they gain familiarity and experience. May be identifiable from a good photo or series of photos.              "
"Dioctria baumhaueri","Dioctria baumhaueri","NBNSYS0000007915",,"05-01 to 08-31",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. Beginners need to take specimens until they gain familiarity and experience. May be identifiable from a good photo or series of photos.              "
"Dioctria cothurnata","Dioctria cothurnata","NBNSYS0000007916",,"05-01 to 07-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Dioctria linearis","Dioctria linearis","NBNSYS0000007917",,"05-01 to 08-31",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. Beginners need to take specimens until they gain familiarity and experience. May be identifiable from a good photo or series of photos.              "
"Dioctria oelandica","Dioctria oelandica","NBNSYS0000007918",,"05-01 to 08-31",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. Beginners need to take specimens until they gain familiarity and experience. May be identifiable from a good photo or series of photos.              "
"Dioctria rufipes","Dioctria rufipes","NBNSYS0000007919",,"05-01 to 08-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Dysmachus trigonus","Dysmachus trigonus","NBNSYS0000007896",,"05-01 to 09-30",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. Beginners need to take specimens until they gain familiarity and experience. May be identifiable from a good photo or series of photos.              "
"Eutolmus rufibarbis","Eutolmus rufibarbis","NBNSYS0000007900",,"06-01 to 08-31",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. Beginners need to take specimens until they gain familiarity and experience. May be identifiable from a good photo or series of photos.              "
"Laphria flava","Laphria flava","NBNSYS0000007908",,"05-01 to 09-30",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. Beginners need to take specimens until they gain familiarity and experience. May be identifiable from a good photo or series of photos.              "
"Lasiopogon cinctus","Lasiopogon cinctus","NBNSYS0000007921",,"04-01 to 08-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Leptarthrus brevirostris","Leptarthrus brevirostris","NBNSYS0000007920",,"05-01 to 08-31",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. Beginners need to take specimens until they gain familiarity and experience. May be identifiable from a good photo or series of photos.              "
"Leptarthrus vitripennis","Leptarthrus vitripennis","NBNSYS0100003706",,"06-01 to 08-31",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. Beginners need to take specimens until they gain familiarity and experience. May be identifiable from a good photo or series of photos.              "
"Leptogaster cylindrica","Leptogaster cylindrica","NBNSYS0000007911",,"05-01 to 08-31",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. Beginners need to take specimens until they gain familiarity and experience. May be identifiable from a good photo or series of photos.              "
"Leptogaster guttiventris","Leptogaster guttiventris","NBNSYS0000007912",,"06-01 to 09-30",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Machimus arthriticus","Machimus arthriticus","NBNSYS0100003860",,"06-01 to 08-31",,"4: Voucher specimen should be retained. Confirmation would be required in the majority of cases, e.g. specimen having been checked by an acknowledged expert."
"Machimus atricapillus","Machimus atricapillus","NBNSYS0000007901",,"05-01 to 10-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Machimus cingulatus","Machimus cingulatus","NBNSYS0100003861",,"06-01 to 10-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Machimus cowini","Machimus cowini","NHMSYS0020734171","1941-01-01 to present","06-01 to 08-31",,"4: Voucher specimen should be retained. Confirmation would be required in the majority of cases, e.g. specimen having been checked by an acknowledged expert."
"Machimus rusticus","Machimus rusticus","NBNSYS0000007902",,"06-01 to 08-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Neoitamus cothurnatus","Neoitamus cothurnatus","NBNSYS0000007903",,"06-01 to 07-31","2: Records for this species must always be verified (very rare, taxonomic uncertainty)","4: Voucher specimen should be retained. Confirmation would be required in the majority of cases, e.g. specimen having been checked by an acknowledged expert."
