"organism_key","taxon","code"
"NBNORG0000007128","Zostera (Zostera) marina",2
"NBNORG0000008798","Lutra lutra",1
"NBNORG0000008799","Phoca vitulina",2
"NBNORG0000008800","Halichoerus grypus",2
"NBNORG0000008811","Megaptera novaeangliae",1
"NBNORG0000008812","Balaenoptera physalus",1
"NBNORG0000008813","Balaenoptera borealis",2
"NBNORG0000008814","Balaenoptera musculus",1
"NBNORG0000008815","Kogia breviceps",2
"NBNORG0000008816","Hyperoodon ampullatus",2
"NBNORG0000008817","Mesoplodon bidens",1
"NBNORG0000008818","Mesoplodon mirus",2
"NBNORG0000008819","Phocoena phocoena",1
"NBNORG0000008820","Orcinus orca",1
"NBNORG0000008821","Pseudorca crassidens",2
"NBNORG0000008822","Tursiops truncatus",2
"NBNORG0000008823","Delphinus delphis",2
"NBNORG0000010752","Limnoria quadripunctata",3
"NBNORG0000010753","Limnoria tripunctata",3
"NBNORG0000013109","Apocorophium lacustre",3
"NBNORG0000013111","Gammarus chevreuxi",3
"NBNORG0000013115","Gammarus insensibilis",3
"NBNORG0000013116","Cryptorchestia cavimana",3
"NBNORG0000017029","Cordylophora caspia",3
"NBNORG0000017031","Edwardsia ivelli",5
"NBNORG0000017032","Nematostella vectensis",3
"NBNORG0000017049","Victorella pavida",4
"NBNORG0000017052","Farrella repens",3
"NBNORG0000017053","Truncatella subcylindrica",2
"NBNORG0000017054","Caecum armoricum",4
"NBNORG0000017055","Tenellia adspersa",4
"NBNORG0000017056","Armandia cirrhosa",4
"NBNORG0000023121","Amphibalanus improvisus",4
"NBNORG0000023179","Gammarus tigrinus",3
"NBNORG0000024876","Eunicella verrucosa",2
"NBNORG0000024877","Thyasira gouldi",4
"NBNORG0000024881","Atrina fragilis",2
"NBNORG0000024882","Cetorhinus maximus",1
"NBNORG0000024884","Gobius gasteveni",3
"NBNORG0000024885","Hippocampus hippocampus",2
"NBNORG0000028383","Physeter macrocephalus",1
"NBNORG0000029238","Acanthocardia aculeata",1
"NBNORG0000029251","Achaeus cranchii",4
"NBNORG0000029268","Actinauge richardi",3
"NBNORG0000029270","Actinia equina",1
"NBNORG0000029271","Actinia fragacea",1
"NBNORG0000029275","Actinothoe sphyrodeta",2
"NBNORG0000029279","Adreus fascicularis",4
"NBNORG0000029287","Aeolidiella alderi",2
"NBNORG0000029289","Aeolidiella sanguinea",3
"NBNORG0000029303","Aglaophenia kirchenpaueri",2
"NBNORG0000029324","Alcyonium digitatum",1
"NBNORG0000029341","Amalosoma eddystonense",2
"NBNORG0000029344","Amathia pruvoti",3
"NBNORG0000029349","Ammodytes marinus",4
"NBNORG0000029423","Anemonia viridis",1
"NBNORG0000029444","Antedon petasus",3
"NBNORG0000029449","Anthopleura ballii",3
"NBNORG0000029450","Anthopleura thallia",2
"NBNORG0000029468","Apletodon dentatus",4
"NBNORG0000029492","Arachnanthus sarsi",2
"NBNORG0000029501","Arctica islandica",2
"NBNORG0000029537","Ascophyllum nodosum",1
"NBNORG0000029537","Ascophyllum nodosum",2
"NBNORG0000029540","Asperococcus scaber",2
"NBNORG0000029551","Asterina phylactica",2
"NBNORG0000029555","Atelecyclus rotundatus",2
"NBNORG0000029580","Aulactinia verrucosa",1
"NBNORG0000029584","Austrosyrrhoe fimbriatus",3
"NBNORG0000029597","Axinella damicornis",2
"NBNORG0000029605","Amphibalanus amphitrite",2
"NBNORG0000029609","Baldia johnstoni",6
"NBNORG0000029613","Barnea candida",2
"NBNORG0000029650","Bolocera tuediae",3
"NBNORG0000029654","Bonnemaisonia hamifera",2
"NBNORG0000029671","Odostomia carrozzai",5
"NBNORG0000029713","Calliactis parasitica",1
"NBNORG0000029730","Callista chione",3
"NBNORG0000029742","Caloria elegans",4
"NBNORG0000029744","Calyptraea chinensis",2
"NBNORG0000029753","Cancer bellianus",4
"NBNORG0000029754","Cancer pagurus",1
"NBNORG0000029777","Carcinus maenas",1
"NBNORG0000029781","Carpomitra costata",1
"NBNORG0000029784","Cataphellia brodricii",4
"NBNORG0000029824","Cereus pedunculatus",2
"NBNORG0000029827","Cerianthus lloydii",2
"NBNORG0000029833","Cestopagurus timidus",4
"NBNORG0000029937","Clupea harengus",2
"NBNORG0000029940","Clymenella torquata",3
"NBNORG0000029952","Colomastix pusilla",3
"NBNORG0000029967","Monocorophium acherusicum",3
"NBNORG0000029969","Medicorophium affine",3
"NBNORG0000029972","Monocorophium sextonae",3
"NBNORG0000029976","Corynactis viridis",1
"NBNORG0000029980","Coryphaenoides rupestris",2
"NBNORG0000029987","Corystes cassivelaunus",1
"NBNORG0000030004","Crepidula fornicata",1
"NBNORG0000030031","Cucumaria frondosa",1
"NBNORG0000030059","Cylindroporella tubulosa",5
"NBNORG0000030109","Diazona violacea",2
"NBNORG0000030120","Dikoleps cutleriana",5
"NBNORG0000030129","Diphasia alata",5
"NBNORG0000030132","Diphasia nigra",5
"NBNORG0000030160","Doris sticta",1
"NBNORG0000030187","Dromia personata",2
"NBNORG0000030202","Ebalia cranchii",4
"NBNORG0000030203","Ebalia tuberosa",4
"NBNORG0000030204","Ebalia tumefacta",4
"NBNORG0000030221","Edwardsia claparedii",2
"NBNORG0000030222","Edwardsia delapiae",5
"NBNORG0000030223","Edwardsia timida",5
"NBNORG0000030224","Edwardsiella carnea",2
"NBNORG0000030234","Austrominius modestus",2
"NBNORG0000030271","Epistomia bursaria",3
"NBNORG0000030278","Eriopisa elongata",3
"NBNORG0000030343","Euonyx chelatus",3
"NBNORG0000030354","Eurynome aspera",4
"NBNORG0000030355","Eurynome spinosa",4
"NBNORG0000030356","Eurypon clavatum",5
"NBNORG0000030360","Eusarsiella zostericola",6
"NBNORG0000030391","Ficopomatus enigmaticus",1
"NBNORG0000030398","Filogranula calyculata",3
"NBNORG0000030413","Fucus distichus",3
"NBNORG0000030418","Gadus morhua",2
"NBNORG0000030474","Glossus humanus",1
"NBNORG0000030498","Goneplax rhomboides",3
"NBNORG0000030504","Goniadella gracilis",6
"NBNORG0000030522","Polycera elegans",1
"NBNORG0000030538","Halcampoides abyssorum",4
"NBNORG0000030554","Haliclystus auricula s.lat.",4
"NBNORG0000030599","Hartlaubella gelatinosa",2
"NBNORG0000030620","Hero formosa",4
"NBNORG0000030661","Hormathia coronata",4
"NBNORG0000030662","Hormathia nodosa",3
"NBNORG0000030672","Hyas araneus",3
"NBNORG0000030673","Hyas coarctatus",3
"NBNORG0000030679","Hydroides elegans",4
"NBNORG0000030680","Hydroides ezoensis",4
"NBNORG0000030694","Inachus dorsettensis",2
"NBNORG0000030695","Inachus leptochirus",5
"NBNORG0000030696","Inachus phalangium",4
"NBNORG0000030716","Isozoanthus sulcatus",1
"NBNORG0000030746","Jujubinus striatus",4
"NBNORG0000030788","Laomedea angulata",3
"NBNORG0000030820","Leptocheirus hirsutimanus",3
"NBNORG0000030821","Leptocheirus pectinatus",3
"NBNORG0000030827","Leptoclinides faeroensis",6
"NBNORG0000030831","Leptometra celtica",2
"NBNORG0000030852","Leucothoe procera",3
"NBNORG0000030853","Leucothoe spinicarpa",3
"NBNORG0000030860","Liljeborgia kinahani",3
"NBNORG0000030885","Liocarcinus navigator",2
"NBNORG0000030886","Liocarcinus corrugatus",1
"NBNORG0000030887","Liocarcinus depurator",2
"NBNORG0000030888","Liocarcinus holsatus",2
"NBNORG0000030889","Liocarcinus marmoreus",3
"NBNORG0000030890","Liocarcinus pusillus",2
"NBNORG0000030891","Liostomia clavula",5
"NBNORG0000030932","Lophius piscatorius",1
"NBNORG0000030987","Macropipus tuberculatus",3
"NBNORG0000030988","Macropodia deflexa",4
"NBNORG0000030989","Macropodia linaresi",4
"NBNORG0000030990","Macropodia rostrata",3
"NBNORG0000030991","Macropodia tenuirostris",3
"NBNORG0000031026","Marenzelleria wireni",6
"NBNORG0000031062","Mercenaria mercenaria",2
"NBNORG0000031063","Merlangius merlangus",2
"NBNORG0000031064","Merluccius merluccius",1
"NBNORG0000031066","Mesacmaea mitchellii",2
"NBNORG0000031069","Metavermilia multicristata",4
"NBNORG0000031076","Metridium dianthus",3
"NBNORG0000031119","Molgula manhattensis",4
"NBNORG0000031123","Molva molva",1
"NBNORG0000031124","Rostroculodes borealis",3
"NBNORG0000031152","Mya arenaria",2
"NBNORG0000031200","Necora puber",1
"NBNORG0000031288","Obelia bidentata",4
"NBNORG0000031299","Ocnus planci",3
"NBNORG0000031321","Okenia elegans",1
"NBNORG0000031322","Okenia leachii",2
"NBNORG0000031330","Onchidella celtica",2
"NBNORG0000031366","Ophiopsila annulosa",3
"NBNORG0000031367","Ophiopsila aranea",3
"NBNORG0000031409","Padina pavonica",2
"NBNORG0000031458","Paraphellia expansa",4
"NBNORG0000031462","Parastichopus tremulus",1
"NBNORG0000031469","Parazoanthus anguicomus",2
"NBNORG0000031472","Alcyonium coralloides",2
"NBNORG0000031484","Parvipalpus capillaceus",3
"NBNORG0000031488","Patella ulyssiponensis",3
"NBNORG0000031494","Peachia cylindrica",1
"NBNORG0000031497","Echinogammarus incertae sedis planicrurus",5
"NBNORG0000031509","Pennatula phosphorea",1
"NBNORG0000031525","Petricolaria pholadiformis",2
"NBNORG0000031532","Phakellia ventilabrum",2
"NBNORG0000031534","Phallusia mammillata",1
"NBNORG0000031541","Phellia gausapata",3
"NBNORG0000031605","Pilumnus hirtellus",2
"NBNORG0000031608","Pinnotheres pisum",4
"NBNORG0000031616","Pirimela denticulata",3
"NBNORG0000031618","Pisa armata",3
"NBNORG0000031619","Pisa tetraodon",3
"NBNORG0000031632","Planes minutus",4
"NBNORG0000031642","Pleuronectes platessa",2
"NBNORG0000031673","Pollachius virens",2
"NBNORG0000031738","Polysyncraton lacazei",3
"NBNORG0000031758","Portumnus latipes",3
"NBNORG0000031793","Protanthea simplex",2
"NBNORG0000031832","Psolus phantapus",2
"NBNORG0000031854","Pyura microcosmus",3
"NBNORG0000031859","Raja clavata",2
"NBNORG0000031860","Raja montagui",2
"NBNORG0000031861","Raja undulata",2
"NBNORG0000031870","Reinhardtius hippoglossoides",2
"NBNORG0000031919","Sabella flabellata",3
"NBNORG0000031935","Cylista elegans",2
"NBNORG0000031936","Cylista troglodytes",3
"NBNORG0000031938","Sagartiogeton laceratus",2
"NBNORG0000031961","Schizobrachiella sanguinea",4
"NBNORG0000031983","Scomber scombrus",2
"NBNORG0000032057","Skenea ossiansarsi",5
"NBNORG0000032072","Solea solea",2
"NBNORG0000032089","Battersia mirabilis",2
"NBNORG0000032152","Squalus acanthias",1
"NBNORG0000032164","Sternaspis scutata",6
"NBNORG0000032171","Calliopaea bellula",4
"NBNORG0000032191","Styela clava",2
"NBNORG0000032198","Suberites massa",5
"NBNORG0000032223","Synoicum incrustatum",2
"NBNORG0000032230","Tamarisca tamarisca",2
"NBNORG0000032252","Teredo navalis",4
"NBNORG0000032287","Thia scutellata",3
"NBNORG0000032325","Trachurus trachurus",1
"NBNORG0000032328","Trapania pallida",3
"NBNORG0000032347","Tritaeta gibbosa",4
"NBNORG0000032352","Candiella odhneri",2
"NBNORG0000032430","Urosalpinx cinerea",4
"NBNORG0000032439","Urticina eques",2
"NBNORG0000032440","Urticina felina",1
"NBNORG0000032474","Zanardinia typus",2
"NBNORG0000032474","Zanardinia typus",1
"NBNORG0000032482","Rissoides desmaresti",2
"NBNORG0000032525","Acartia (Acanthacartia) tonsa",3
"NBNORG0000032571","Actinostola callosa",2
"NBNORG0000032651","Aglaothamnion feldmanniae",5
"NBNORG0000032662","Aiptasiogeton pellucidus",3
"NBNORG0000032685","Alcyonium palmatum",2
"NBNORG0000032767","Ammothea hilgendorfi",3
"NBNORG0000032913","Antithamnionella ternifolia",5
"NBNORG0000032920","Aphanopus carbo",1
"NBNORG0000033051","Arrhis phyllonyx",3
"NBNORG0000033128","Asthenognathus atlanticus",4
"NBNORG0000033134","Atelecyclus undecimdentatus",3
"NBNORG0000033142","Atherina boyeri",3
"NBNORG0000033249","Balanophyllia (Balanophyllia) cellulosa",4
"NBNORG0000033301","Bathynectes maravigna",4
"NBNORG0000033443","Brachynotus sexdentatus",3
"NBNORG0000033501","Bugula neritina",3
"NBNORG0000033559","Callinectes sapidus",1
"NBNORG0000033724","Celleporina decipiens",4
"NBNORG0000033787","Cervera atlantica",5
"NBNORG0000034171","Cornularia cornucopiae",5
"NBNORG0000034193","Coryne pintneri",4
"NBNORG0000034221","Crassostrea virginica",2
"NBNORG0000034390","Cymonomus granulatus",5
"NBNORG0000034464","Dalatias licha",2
"NBNORG0000034519","Dendrophyllia cornigera",1
"NBNORG0000034717","Dorhynchus thomsoni",5
"NBNORG0000035013","Epizoanthus macintoshi",5
"NBNORG0000035014","Epizoanthus paguriphilus",5
"NBNORG0000035384","Geryon trispinosus",4
"NBNORG0000035396","Gitanopsis bispinosa",3
"NBNORG0000035591","Haliotis tuberculata",2
"NBNORG0000035853","Hippoglossus hippoglossus",2
"NBNORG0000035897","Hormathia digitata",3
"NBNORG0000035918","Hydroides dianthus",4
"NBNORG0000036051","Neodexiospira brasiliensis",3
"NBNORG0000036257","Lepidochelys kempii",3
"NBNORG0000036302","Leptochiton scabridus",4
"NBNORG0000036340","Leptopsammia britannica",2
"NBNORG0000036385","Leucandra gossei",3
"NBNORG0000036458","Liocarcinus zariquieyi",5
"NBNORG0000036474","Idunella mollis",6
"NBNORG0000036475","Idunella picta",6
"NBNORG0000036599","Lucinella divaricata",5
"NBNORG0000036696","Madrepora oculata",2
"NBNORG0000036703","Malacocephalus laevis",2
"NBNORG0000036726","Marenzelleria viridis",6
"NBNORG0000037052","Molva dypterygia",3
"NBNORG0000037059","Monoculodes packardi",3
"NBNORG0000037165","Mytilicola intestinalis",5
"NBNORG0000037166","Mytilicola orientalis",5
"NBNORG0000037558","Oncorhynchus gorbuscha",3
"NBNORG0000037559","Oncorhynchus kisutch",3
"NBNORG0000037681","Pachygrapsus marmoratus",2
"NBNORG0000037806","Paralaeospira malardi",4
"NBNORG0000037960","Paromola cuvieri",2
"NBNORG0000037969","Parthenopoides massena",3
"NBNORG0000038057","Perophora japonica",4
"NBNORG0000038202","Pileolaria berkeleyana",4
"NBNORG0000038204","Pileolaria militaris",4
"NBNORG0000038207","Pilumnoides inglei",4
"NBNORG0000038345","Polybius henslowii",3
"NBNORG0000038866","Rhithropanopeus harrisii",4
"NBNORG0000038961","Rochinia carpenteri",4
"NBNORG0000039012","Cylista ornata",4
"NBNORG0000039311","Hesperibalanus fallax",4
"NBNORG0000039387","Sphenotrochus (Sphenotrochus) andrewianus",3
"NBNORG0000039672","Telmatactis forskalii",3
"NBNORG0000039849","Thunnus thynnus",3
"NBNORG0000040203","Veretillum cynomorium",2
"NBNORG0000040205","Vermiliopsis striaticeps",2
"NBNORG0000040257","Xaiva biguttata",3
"NBNORG0000040325","Zoanthus alderi",5
"NBNORG0000040338","Desmacidon fruticosum",4
"NBNORG0000040348","Alcyonium glomeratum",2
"NBNORG0000040350","Funiculina quadrangularis",1
"NBNORG0000040351","Pachycerianthus multiplicatus",1
"NBNORG0000040353","Parazoanthus axinellae",2
"NBNORG0000040354","Aiptasia couchii",1
"NBNORG0000040355","Amphianthus dohrnii",2
"NBNORG0000040359","Scolanthus callimorphus",3
"NBNORG0000040360","Hoplangia durotrix",3
"NBNORG0000040361","Balanophyllia (Balanophyllia) regia",1
"NBNORG0000040362","Leptopsammia pruvoti",1
"NBNORG0000040388","Sabellaria alveolata",2
"NBNORG0000040390","Alkmaria romijni",4
"NBNORG0000040438","Palinurus elephas",2
"NBNORG0000040440","Clibanarius erythropus",4
"NBNORG0000040443","Bathynectes longipes",4
"NBNORG0000040458","Nucella lapillus",1
"NBNORG0000040463","Trapania maculata",3
"NBNORG0000040464","Atagema gibba",4
"NBNORG0000040467","Modiolus modiolus",3
"NBNORG0000040469","Ostrea edulis",2
"NBNORG0000040477","Pholas dactylus",2
"NBNORG0000040492","Smittina affinis",4
"NBNORG0000040493","Turbicellepora magnicostata",3
"NBNORG0000040495","Echinus esculentus",1
"NBNORG0000040496","Paracentrotus lividus",2
"NBNORG0000040498","Styela gelatinosa",4
"NBNORG0000040500","Lampetra fluviatilis",2
"NBNORG0000040502","Petromyzon marinus",1
"NBNORG0000040503","Isurus oxyrinchus",3
"NBNORG0000040505","Galeorhinus galeus",2
"NBNORG0000040506","Prionace glauca",1
"NBNORG0000040507","Squatina squatina",1
"NBNORG0000040511","Acipenser sturio",5
"NBNORG0000040513","Anguilla anguilla",2
"NBNORG0000040515","Alosa alosa",3
"NBNORG0000040517","Coregonus lavaretus",3
"NBNORG0000040519","Salmo salar",2
"NBNORG0000040522","Osmerus eperlanus",2
"NBNORG0000040541","Gobius couchi",3
"NBNORG0000040542","Pomatoschistus minutus",4
"NBNORG0000040545","Chelonia mydas",2
"NBNORG0000040547","Caretta caretta",2
"NBNORG0000040550","Eretmochelys imbricata",2
"NBNORG0000040552","Dermochelys coriacea",1
"NBNORG0000040622","Odobenus rosmarus",1
"NBNORG0000040629","Stenella coeruleoalba",2
"NBNORG0000040637","Delphinapterus leucas",1
"NBNORG0000040639","Monodon monoceros",1
"NBNORG0000040642","Mesoplodon europaeus",2
"NBNORG0000040650","Asparagopsis armata",2
"NBNORG0000040653","Pikea californica",3
"NBNORG0000040658","Undaria pinnatifida",1
"NBNORG0000040659","Sargassum muticum",1
"NBNORG0000040661","Codium fragile",4
"NBNORG0000043632","Zostera (Zosterella) noltei",2
"NBNORG0000049712","Balaenoptera acutorostrata",2
"NBNORG0000049713","Globicephala melas",3
"NBNORG0000049714","Grampus griseus",2
"NBNORG0000049715","Lagenorhynchus acutus",1
"NBNORG0000049716","Lagenorhynchus albirostris",1
"NBNORG0000049718","Ziphius cavirostris",1
"NBNORG0000049761","Epizoanthus couchii",2
"NBNORG0000049765","Halcampa chrysanthellum",2
"NBNORG0000049787","Stenocyathus vermiformis",4
"NBNORG0000051225","Lamna nasus",2
"NBNORG0000051407","Centrophorus granulosus",2
"NBNORG0000051408","Centrophorus squamosus",2
"NBNORG0000051449","Hoplostethus atlanticus",2
"NBNORG0000051465","Macrourus berglax",2
"NBNORG0000052068","Phorbas dives",5
"NBNORG0000052470","Lepidochelys olivacea",3
"NBNORG0000052672","Eubalaena glacialis",1
"NBNORG0000052719","Balaena mysticetus",1
"NBNORG0000052865","Grateloupia turuturu",2
"NBNORG0000053620","Chara canescens",2
"NBNORG0000061553","Alosa fallax",3
"NBNORG0000061579","Coregonus oxyrinchus",3
"NBNORG0000061629","Pomatoschistus microps",4
"NBNORG0000062272","Pleurosigma planktonicum",5
"NBNORG0000063237","Palaemon macrodactylus",2
"NBNORG0000063995","Aglaothamnion diaphanum",5
"NBNORG0000063998","Aglaothamnion priceanum",5
"NBNORG0000064008","Anotrichium barbatum",5
"NBNORG0000064009","Anotrichium furcellatum",4
"NBNORG0000064015","Antithamnionella spirographidis",5
"NBNORG0000064046","Bornetia secundiflora",5
"NBNORG0000064099","Chondria coerulescens",4
"NBNORG0000064113","Cladophora battersii",5
"NBNORG0000064135","Colpomenia peregrina",1
"NBNORG0000064149","Cruoria cruoriaeformis",5
