"","organism_key","taxon","km100","km10","coord_system"
"1","NBNORG0000017053","Truncatella subcylindrica","SS","19","OSGB"
"2","NBNORG0000017054","Caecum armoricum","SZ","89","OSGB"
"3","NBNORG0000017055","Tenellia adspersa","SC","82","OSGB"
"4","NBNORG0000017055","Tenellia adspersa","SR","68","OSGB"
"5","NBNORG0000017055","Tenellia adspersa","ST","47","OSGB"
"6","NBNORG0000017055","Tenellia adspersa","SY","58","OSGB"
"7","NBNORG0000017055","Tenellia adspersa","TM","01","OSGB"
"8","NBNORG0000017055","Tenellia adspersa","Y","73","OSNI"
"9","NBNORG0000023121","Amphibalanus improvisus","J","43","OSNI"
"10","NBNORG0000023121","Amphibalanus improvisus","NB","03","OSGB"
"11","NBNORG0000023121","Amphibalanus improvisus","NS","98","OSGB"
"12","NBNORG0000023121","Amphibalanus improvisus","NT","17 95","OSGB"
"13","NBNORG0000023121","Amphibalanus improvisus","NZ","28","OSGB"
"14","NBNORG0000023121","Amphibalanus improvisus","Q","95","OSNI"
"15","NBNORG0000023121","Amphibalanus improvisus","S","61","OSNI"
"16","NBNORG0000023121","Amphibalanus improvisus","SB","58","OSGB"
"17","NBNORG0000023121","Amphibalanus improvisus","SD","42 46","OSGB"
"18","NBNORG0000023121","Amphibalanus improvisus","SH","57","OSGB"
"19","NBNORG0000023121","Amphibalanus improvisus","SJ","18","OSGB"
"20","NBNORG0000023121","Amphibalanus improvisus","SL","57","OSGB"
"21","NBNORG0000023121","Amphibalanus improvisus","SM","70 90 91","OSGB"
"22","NBNORG0000023121","Amphibalanus improvisus","SN","00 01","OSGB"
"23","NBNORG0000023121","Amphibalanus improvisus","SS","35 49","OSGB"
"24","NBNORG0000023121","Amphibalanus improvisus","ST","36 47 58 59","OSGB"
"25","NBNORG0000023121","Amphibalanus improvisus","SW","53 71 83","OSGB"
"26","NBNORG0000023121","Amphibalanus improvisus","SX","85","OSGB"
"27","NBNORG0000023121","Amphibalanus improvisus","SY","67 98 99","OSGB"
"28","NBNORG0000023121","Amphibalanus improvisus","SZ","08 09","OSGB"
"29","NBNORG0000023121","Amphibalanus improvisus","TL","90","OSGB"
"30","NBNORG0000023121","Amphibalanus improvisus","TM","02 13 23 24 35 45","OSGB"
"31","NBNORG0000023121","Amphibalanus improvisus","TR","27","OSGB"
"32","NBNORG0000023121","Amphibalanus improvisus","Y","85","OSNI"
"33","NBNORG0000023179","Gammarus tigrinus","C","83","OSNI"
"34","NBNORG0000023179","Gammarus tigrinus","NW","09","OSGB"
"35","NBNORG0000023179","Gammarus tigrinus","SM","80 91","OSGB"
"36","NBNORG0000023179","Gammarus tigrinus","SN","01","OSGB"
"37","NBNORG0000023179","Gammarus tigrinus","SS","49","OSGB"
"38","NBNORG0000023179","Gammarus tigrinus","SX","85","OSGB"
"39","NBNORG0000023179","Gammarus tigrinus","Y","95","OSNI"
"40","NBNORG0000024876","Eunicella verrucosa","G","75 76 77","OSNI"
"41","NBNORG0000024876","Eunicella verrucosa","L","90","OSNI"
"42","NBNORG0000024876","Eunicella verrucosa","NF","77 83","OSGB"
"43","NBNORG0000024876","Eunicella verrucosa","NG","51","OSGB"
"44","NBNORG0000024876","Eunicella verrucosa","NM","56","OSGB"
"45","NBNORG0000024876","Eunicella verrucosa","NT","96","OSGB"
"46","NBNORG0000024876","Eunicella verrucosa","R","09","OSNI"
"47","NBNORG0000024876","Eunicella verrucosa","SC","16 17 26 27","OSGB"
"48","NBNORG0000024876","Eunicella verrucosa","SH","23 37 57","OSGB"
"49","NBNORG0000024876","Eunicella verrucosa","SM","40 62 70 71 72 73 80 81 82 83","OSGB"
"50","NBNORG0000024876","Eunicella verrucosa","SS","12 14 54 64","OSGB"
"51","NBNORG0000024876","Eunicella verrucosa","SU","31 41","OSGB"
"52","NBNORG0000024876","Eunicella verrucosa","SV","70 80 81 90 91","OSGB"
"53","NBNORG0000024876","Eunicella verrucosa","SW","32 42 52 61 65 71 75 76 81 82 83 86 87 89 93 97 98","OSGB"
"54","NBNORG0000024876","Eunicella verrucosa","SX","03 04 08 09 14 15 23 24 25 33 34 35 37 42 44 45 46 53 54 55 63 64 73 83 84 94 95 96 97","OSGB"
"55","NBNORG0000024876","Eunicella verrucosa","SY","06 07 17 19 28 38 48 57 58 66 67 77 78 87 97","OSGB"
"56","NBNORG0000024876","Eunicella verrucosa","SZ","08 18 19","OSGB"
"57","NBNORG0000024876","Eunicella verrucosa","TQ","99","OSGB"
"58","NBNORG0000024876","Eunicella verrucosa","TV","79","OSGB"
"59","NBNORG0000024876","Eunicella verrucosa","V","89","OSNI"
"60","NBNORG0000024876","Eunicella verrucosa","Y","65 77 85 87 95 96 97 98","OSNI"
"61","NBNORG0000024877","Thyasira gouldi","HU","36 37","OSGB"
"62","NBNORG0000024877","Thyasira gouldi","SY","67 77","OSGB"
"63","NBNORG0000024881","Atrina fragilis","D","14 55 88","OSNI"
"64","NBNORG0000024881","Atrina fragilis","HU","19 23","OSGB"
"65","NBNORG0000024881","Atrina fragilis","HY","01 37 60","OSGB"
"66","NBNORG0000024881","Atrina fragilis","ND","39 55 58 59","OSGB"
"67","NBNORG0000024881","Atrina fragilis","NG","79 82","OSGB"
"68","NBNORG0000024881","Atrina fragilis","NK","66","OSGB"
"69","NBNORG0000024881","Atrina fragilis","NL","79","OSGB"
"70","NBNORG0000024881","Atrina fragilis","NM","25 55","OSGB"
"71","NBNORG0000024881","Atrina fragilis","NP","19","OSGB"
"72","NBNORG0000024881","Atrina fragilis","NR","30 70","OSGB"
"73","NBNORG0000024881","Atrina fragilis","NS","03 15","OSGB"
"74","NBNORG0000024881","Atrina fragilis","SC","82","OSGB"
"75","NBNORG0000024881","Atrina fragilis","SM","80","OSGB"
"76","NBNORG0000024881","Atrina fragilis","SN","10","OSGB"
"77","NBNORG0000024881","Atrina fragilis","SW","72","OSGB"
"78","NBNORG0000024881","Atrina fragilis","SX","45 73","OSGB"
"79","NBNORG0000024881","Atrina fragilis","SY","14","OSGB"
"80","NBNORG0000024882","Cetorhinus maximus","B","61","OSNI"
"81","NBNORG0000024882","Cetorhinus maximus","D","18 40","OSNI"
"82","NBNORG0000024882","Cetorhinus maximus","HU","36","OSGB"
"83","NBNORG0000024882","Cetorhinus maximus","J","66","OSNI"
"84","NBNORG0000024882","Cetorhinus maximus","NB","14","OSGB"
"85","NBNORG0000024882","Cetorhinus maximus","NC","16","OSGB"
"86","NBNORG0000024882","Cetorhinus maximus","NG","18","OSGB"
"87","NBNORG0000024882","Cetorhinus maximus","NM","19","OSGB"
"88","NBNORG0000024882","Cetorhinus maximus","NR","34 97","OSGB"
"89","NBNORG0000024882","Cetorhinus maximus","NS","05 23","OSGB"
"90","NBNORG0000024882","Cetorhinus maximus","NW","66 72","OSGB"
"91","NBNORG0000024882","Cetorhinus maximus","O","29","OSNI"
"92","NBNORG0000024882","Cetorhinus maximus","SB","35","OSGB"
"93","NBNORG0000024882","Cetorhinus maximus","SC","16 28","OSGB"
"94","NBNORG0000024882","Cetorhinus maximus","SH","51 67","OSGB"
"95","NBNORG0000024882","Cetorhinus maximus","SM","70 80","OSGB"
"96","NBNORG0000024882","Cetorhinus maximus","SS","14 24","OSGB"
"97","NBNORG0000024882","Cetorhinus maximus","SW","54 65 71 82 87 93","OSGB"
"98","NBNORG0000024882","Cetorhinus maximus","SX","13 24 33 34 45 73","OSGB"
"99","NBNORG0000024882","Cetorhinus maximus","W","64","OSNI"
"100","NBNORG0000024882","Cetorhinus maximus","Y","85 95","OSNI"
"101","NBNORG0000024884","Gobius gasteveni","SL","71 72","OSGB"
"102","NBNORG0000024884","Gobius gasteveni","SM","00","OSGB"
"103","NBNORG0000024884","Gobius gasteveni","SQ","12 18 75 84","OSGB"
"104","NBNORG0000024884","Gobius gasteveni","SR","17 18 78","OSGB"
"105","NBNORG0000024884","Gobius gasteveni","SV","12 54 66","OSGB"
"106","NBNORG0000024884","Gobius gasteveni","SW","07 39 93","OSGB"
"107","NBNORG0000024884","Gobius gasteveni","SX","12 23 35 54","OSGB"
"108","NBNORG0000024884","Gobius gasteveni","TR","57","OSGB"
"109","NBNORG0000024884","Gobius gasteveni","TV","33 55 74 82","OSGB"
"110","NBNORG0000024884","Gobius gasteveni","V","14 15","OSNI"
"111","NBNORG0000024884","Gobius gasteveni","X","05 32 85 86","OSNI"
"112","NBNORG0000024884","Gobius gasteveni","Y","21 22 24 32 92","OSNI"
"113","NBNORG0000024885","Hippocampus hippocampus","SU","60","OSGB"
"114","NBNORG0000024885","Hippocampus hippocampus","SX","45 96","OSGB"
"115","NBNORG0000024885","Hippocampus hippocampus","SZ","08 68 79 89","OSGB"
"116","NBNORG0000024885","Hippocampus hippocampus","TQ","30","OSGB"
"117","NBNORG0000029238","Acanthocardia aculeata","JV","99","OSGB"
"118","NBNORG0000029238","Acanthocardia aculeata","NB","13 84","OSGB"
"119","NBNORG0000029238","Acanthocardia aculeata","NG","88","OSGB"
"120","NBNORG0000029238","Acanthocardia aculeata","NP","19","OSGB"
"121","NBNORG0000029238","Acanthocardia aculeata","NX","40 63 73","OSGB"
"122","NBNORG0000029238","Acanthocardia aculeata","OL","94","OSGB"
"123","NBNORG0000029238","Acanthocardia aculeata","OV","17","OSGB"
"124","NBNORG0000029238","Acanthocardia aculeata","SC","94","OSGB"
"125","NBNORG0000029238","Acanthocardia aculeata","SG","34","OSGB"
"126","NBNORG0000029238","Acanthocardia aculeata","SH","53 58","OSGB"
"127","NBNORG0000029238","Acanthocardia aculeata","SS","39","OSGB"
"128","NBNORG0000029238","Acanthocardia aculeata","SV","91","OSGB"
"129","NBNORG0000029238","Acanthocardia aculeata","SX","45 54 73 95 96","OSGB"
"130","NBNORG0000029238","Acanthocardia aculeata","SY","78","OSGB"
"131","NBNORG0000029238","Acanthocardia aculeata","T","49","OSNI"
"132","NBNORG0000029238","Acanthocardia aculeata","TA","09","OSGB"
"133","NBNORG0000029238","Acanthocardia aculeata","TQ","30","OSGB"
"134","NBNORG0000029238","Acanthocardia aculeata","TV","39","OSGB"
"135","NBNORG0000029251","Achaeus cranchii","D","86","OSNI"
"136","NBNORG0000029251","Achaeus cranchii","L","54 71 74","OSNI"
"137","NBNORG0000029251","Achaeus cranchii","NS","01","OSGB"
"138","NBNORG0000029251","Achaeus cranchii","O","85","OSNI"
"139","NBNORG0000029251","Achaeus cranchii","SB","80","OSGB"
"140","NBNORG0000029251","Achaeus cranchii","SC","16 17","OSGB"
"141","NBNORG0000029251","Achaeus cranchii","SR","94","OSGB"
"142","NBNORG0000029251","Achaeus cranchii","SS","14 19 24","OSGB"
"143","NBNORG0000029251","Achaeus cranchii","SV","91","OSGB"
"144","NBNORG0000029251","Achaeus cranchii","SW","73 83","OSGB"
"145","NBNORG0000029251","Achaeus cranchii","SX","43 47 63","OSGB"
"146","NBNORG0000029251","Achaeus cranchii","SY","56 67 87","OSGB"
"147","NBNORG0000029251","Achaeus cranchii","TR","27 28 85","OSGB"
"148","NBNORG0000029251","Achaeus cranchii","TV","79 89","OSGB"
"149","NBNORG0000029268","Actinauge richardi","D","75","OSNI"
"150","NBNORG0000029268","Actinauge richardi","HX","15 27","OSGB"
"151","NBNORG0000029268","Actinauge richardi","HZ","99","OSGB"
"152","NBNORG0000029268","Actinauge richardi","JR","18 90","OSGB"
"153","NBNORG0000029268","Actinauge richardi","JV","99","OSGB"
"154","NBNORG0000029268","Actinauge richardi",NA,"87","OSGB"
"155","NBNORG0000029268","Actinauge richardi","NB","84","OSGB"
"156","NBNORG0000029268","Actinauge richardi","NE","18 30 79","OSGB"
"157","NBNORG0000029268","Actinauge richardi","NF","04 08","OSGB"
"158","NBNORG0000029268","Actinauge richardi","NL","06 64 75","OSGB"
"159","NBNORG0000029268","Actinauge richardi","NM","48","OSGB"
"160","NBNORG0000029268","Actinauge richardi","NO","85","OSGB"
"161","NBNORG0000029268","Actinauge richardi","NP","19","OSGB"
"162","NBNORG0000029268","Actinauge richardi","NQ","07 47","OSGB"
"163","NBNORG0000029268","Actinauge richardi","NR","90","OSGB"
"164","NBNORG0000029268","Actinauge richardi","OM","17","OSGB"
"165","NBNORG0000029268","Actinauge richardi","OQ","07","OSGB"
"166","NBNORG0000029268","Actinauge richardi","SL","71 72","OSGB"
"167","NBNORG0000029268","Actinauge richardi","SM","00","OSGB"
"168","NBNORG0000029268","Actinauge richardi","SQ","12 18 75 84","OSGB"
"169","NBNORG0000029268","Actinauge richardi","SR","17 18 78","OSGB"
"170","NBNORG0000029268","Actinauge richardi","SV","12 54 66","OSGB"
"171","NBNORG0000029268","Actinauge richardi","SW","07 39 93","OSGB"
"172","NBNORG0000029268","Actinauge richardi","SX","12 23 35","OSGB"
"173","NBNORG0000029268","Actinauge richardi","V","14 15","OSNI"
"174","NBNORG0000029268","Actinauge richardi","X","05 32 85 86","OSNI"
"175","NBNORG0000029268","Actinauge richardi","Y","21 22 24 32 92","OSNI"
"176","NBNORG0000029270","Actinia equina","B","83","OSNI"
"177","NBNORG0000029270","Actinia equina","C","13 14 23 24 35 45 83 84 94 99","OSNI"
"178","NBNORG0000029270","Actinia equina","D","04 05 08 09 14 15 18 21 22 23 24 28 29 30 31 32 40 41 45 46 56 57 58 59 67 68 79 82 86 87 88 99","OSNI"
"179","NBNORG0000029270","Actinia equina","F","60 63 94","OSNI"
