"species","preferred_species_name","tvk","recording_period","flight_period","id_difficulty"
"Adela croesella","Adela croesella","NHMSYS0000500990",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Adela cuprella","Adela cuprella","NHMSYS0021142163",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Adela reaumurella","Adela reaumurella","NBNSYS0100001422",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Cauchas fibulella","Cauchas fibulella","NHMSYS0021142166",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Cauchas rufimitrella","Cauchas rufimitrella","NHMSYS0021142167",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Nematopogon magna","Nematopogon magna","NBNSYS0100004197",,,"4: Species that can only be identified following critical assessment often involving dissection and examination of genitalia. A specimen should be retained for confirmation."
"Nematopogon metaxella","Nematopogon metaxella","NHMSYS0021142170",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Nematopogon pilella","Nematopogon pilella","NHMSYS0021142168",,,"4: Species that can only be identified following critical assessment often involving dissection and examination of genitalia. A specimen should be retained for confirmation."
"Nematopogon schwarziellus","Nematopogon schwarziellus","NHMSYS0000503349",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Nematopogon swammerdamella","Nematopogon swammerdamella","NHMSYS0000503350",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Nemophora cupriacella","Nemophora cupriacella","NHMSYS0021142160",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Nemophora degeerella","Nemophora degeerella","NHMSYS0000503358",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Nemophora fasciella","Nemophora fasciella","NHMSYS0000503359",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Nemophora metallica","Nemophora metallica","NHMSYS0000503360",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Nemophora minimella","Nemophora minimella","NHMSYS0021142161",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Alucita hexadactyla","Alucita hexadactyla","NHMSYS0000501204",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Argyresthia abdominalis","Argyresthia abdominalis","NHMSYS0000501358",,,"3: Very scarce species or species that are difficult to identify. A voucher specimen may be required by your County Recorder (seek advice before releasing the moth) particularly if the species record is outside of the normal flight period or geographical range. A good set of photographs showing all critical identification features clearly may suffice in some cases."
"Argyresthia albistria","Argyresthia albistria","NHMSYS0000501359",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Argyresthia arceuthina","Argyresthia arceuthina","NHMSYS0000501360",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Argyresthia aurulentella","Argyresthia aurulentella","NHMSYS0000501362",,,"3: Very scarce species or species that are difficult to identify. A voucher specimen may be required by your County Recorder (seek advice before releasing the moth) particularly if the species record is outside of the normal flight period or geographical range. A good set of photographs showing all critical identification features clearly may suffice in some cases."
