"tvk","start_day","start_month","end_day","end_month"
"NHMSYS0001387471","01","04","30","11"
"NBNSYS0000006834","01","06","31","10"
"NBNSYS0000006836","01","05","31","10"
"NBNSYS0000006835","01","04","31","10"
"NHMSYS0020978386","01","05","31","10"
"NHMSYS0001387438","01","04","30","11"
"NHMSYS0020978368","01","07","31","10"
"NHMSYS0019998481","01","07","31","10"
"NBNSYS0000006838","01","01","30","11"
"NHMSYS0001387431","01","05","30","11"
"NHMSYS0020973976","01","06","30","11"
"NBNSYS0000006839","01","04","30","11"
"NBNSYS0000006821","01","04","30","11"
"NHMSYS0001387418","01","05","30","11"
"NHMSYS0020977729","01","07","31","12"
"NBNSYS0000006825","01","04","30","11"
"NHMSYS0001387363","01","03","30","11"
"NBNSYS0000006830","01","06","31","10"
"NBNSYS0000006840","01","05","31","10"
"NHMSYS0020784634","01","04","30","11"
"NHMSYS0001387301","01","05","31","10"
"NHMSYS0001387299","01","04","30","11"
"NBNSYS0000006818","01","05","31","10"
"NHMSYS0020752279","01","05","30","11"
"NBNSYS0000006824","01","02","31","12"
"NHMSYS0001387288","01","06","31","10"
"NBNSYS0000006843","01","01","30","11"
"NHMSYS0001387286","01","05","30","11"
