"taxon","tvk","start_day","start_month","start_year","end_day","end_month","end_year"
"Adicella filicornis","NBNSYS0000008528","01","01","1884",,,
"Adicella reducta","NBNSYS0000008529","01","01","1836",,,
"Agapetus delicatulus","NBNSYS0000008346","01","01","1862",,,
"Agapetus fuscipes","NBNSYS0000008347","01","01","1835",,,
"Agapetus ochripes","NBNSYS0000008348","01","01","1860",,,
"Agraylea multipunctata","NBNSYS0000008349","01","01","1858",,,
"Agraylea sexmaculata","NBNSYS0000008350","01","01","1860",,,
"Agrypnia crassicornis","NHMSYS0020442287","01","01","1952",,,
"Agrypnia obsoleta","NBNSYS0000008424","01","01","1854",,,
"Agrypnia pagetana","NBNSYS0000008425","01","01","1833",,,
"Agrypnia varia","NHMSYS0020704765","01","01","1825",,,
"Allogamus auricollis","NBNSYS0000008444","01","01","1867",,,
"Allotrichia pallicornis","NBNSYS0000008351","01","01","1874",,,
"Anabolia brevipennis","NHMSYS0020785001","01","01","1861",,,
"Anabolia nervosa","NBNSYS0000008462","01","01","1832",,,
"Apatania muliebris","NBNSYS0000008439","01","01","1864",,,
"Apatania wallengreni","NBNSYS0000008441","01","01","1862",,,
"Athripsodes albifrons","NBNSYS0000008510","01","01","1813",,,
"Athripsodes aterrimus","NBNSYS0000008512","01","01","1836",,,
"Athripsodes bilineatus","NBNSYS0000008513","01","01","1830",,,
"Athripsodes cinereus","NBNSYS0000008514","01","01","1836",,,
"Athripsodes commutatus","NBNSYS0000008515","01","01","1862",,,
"Beraea maurus","NBNSYS0000008501","01","01","1835",,,
"Beraea pullata","NBNSYS0000008502","01","01","1835",,,
"Beraeodes minutus","NBNSYS0000008503","01","01","1865",,,
"Brachycentrus subnubilus","NBNSYS0000008433","01","01","1836",,,
"Ceraclea albimacula","NBNSYS0000008516","01","01","1836",,,
"Ceraclea annulicornis","NBNSYS0000008517","01","01","1836",,,
"Ceraclea dissimilis","NBNSYS0000008518","01","01","1836",,,
"Ceraclea fulva","NBNSYS0000008519","01","01","1861",,,
"Ceraclea nigronervosa","NBNSYS0000008520","01","01","1836",,,
"Ceraclea senilis","NBNSYS0000008521","01","01","1862",,,
"Chaetopteryx villosa","NHMSYS0020704776","01","01","1821",,,
"Cheumatopsyche lepida","NBNSYS0000008412","01","01","1836",,,
"Chimarra marginata","NBNSYS0000008384","01","01","1836",,,
"Crunoecia irrorata","NBNSYS0000008434","01","01","1836",,,
"Cyrnus flavidus","NBNSYS0000008399","01","01","1861",,,
"Cyrnus insolutus","NBNSYS0000008400","01","01","1941",,,
"Cyrnus trimaculatus","NBNSYS0000008401","01","01","1836",,,
"Diplectrona felix","NBNSYS0000008422","01","01","1836",,,
"Drusus annulatus","NBNSYS0000008442","01","01","1837",,,
"Ecclisopteryx guttulata","NBNSYS0000008443","01","01","1861",,,
"Ecnomus tenellus","NBNSYS0000008397","01","01","1860",,,
"Enoicyla pusilla","NBNSYS0000008445","01","01","1868",,,
"Ernodes articularis","NBNSYS0000008504","01","01","1900",,,
"Erotesis baltica","NBNSYS0000008530","01","01","1871",,,
"Glossosoma boltoni","NBNSYS0000008343","01","01","1835",,,
"Glossosoma conforme","NHMSYS0020752276","01","01","1857",,,
"Glossosoma intermedium","NBNSYS0000008345","01","01","1925","31","12","2003"
"Glyphotaelius pellucidus","NBNSYS0000008463","01","01","1836",,,
"Goera pilosa","NHMSYS0020704791","01","01","1836",,,
"Grammotaulius nigropunctatus","NBNSYS0000008464","01","01","1836",,,
"Grammotaulius nitidus","NHMSYS0020704793","01","01","1859",,,
"Hagenella clathrata","NBNSYS0000008428","01","01","1867",,,
"Halesus digitatus","NBNSYS0000008446","01","01","1836",,,
"Halesus radiatus","NBNSYS0000008447","01","01","1840",,,
"Holocentropus dubius","NBNSYS0000008402","01","01","1861",,,
"Holocentropus picicornis","NBNSYS0000008403","01","01","1836",,,
"Holocentropus stagnalis","NBNSYS0000008404","01","01","1870",,,
"Hydatophylax infumatus","NBNSYS0000008448","01","01","1865",,,
"Hydropsyche angustipennis","NBNSYS0000008413","01","01","1836",,,
"Hydropsyche bulgaromanorum","NBNSYS0000008414","01","01","1836",,,
"Hydropsyche contubernalis","NBNSYS0000008415","01","01","1862",,,
"Hydropsyche exocellata","NBNSYS0000008416","01","01","1862","31","12","1903"
"Hydropsyche fulvipes","NBNSYS0000008417","01","01","1836",,,
